"",BBK01.OXA7D2,BBK01.OXA7D2_FLAGS
"","Stocks of loans to domestic households (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:31,
2009-12,52.208,
2010-01,51.498,
2010-02,50.975,
2010-03,50.300,
2010-04,49.707,
2010-05,49.182,
2010-06,48.509,
2010-07,49.346,
2010-08,47.811,
2010-09,47.176,
2010-10,47.411,
2010-11,46.164,
2010-12,45.348,
2011-01,44.147,
2011-02,43.732,
2011-03,43.597,
2011-04,42.977,
2011-05,42.357,
2011-06,41.716,
2011-07,42.021,
2011-08,42.325,
2011-09,42.031,
2011-10,41.419,
2011-11,42.292,
2011-12,41.505,
2012-01,40.812,
2012-02,40.174,
2012-03,39.475,
2012-04,38.729,
2012-05,37.937,
2012-06,37.311,
2012-07,36.649,
2012-08,36.010,
2012-09,35.337,
2012-10,34.582,
2012-11,34.812,
2012-12,34.037,
2013-01,33.238,
2013-02,32.996,
2013-03,34.882,
2013-04,34.072,
2013-05,33.469,
2013-06,34.460,
2013-07,34.642,
2013-08,33.969,
2013-09,33.149,
2013-10,32.971,
2013-11,32.405,
2013-12,31.655,
2014-01,30.886,
2014-02,30.401,
2014-03,31.692,
2014-04,33.788,
2014-05,33.696,
2014-06,32.985,
2014-07,32.260,
2014-08,31.837,
2014-09,34.428,
2014-10,33.753,
2014-11,33.400,
2014-12,32.137,Provisional value
