"",BBK01.OEYJ05I,BBK01.OEYJ05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:56,
2002-01,14.856,
2002-04,14.840,
2002-07,14.727,
2002-10,14.284,
2003-01,14.242,
2003-04,13.675,
2003-07,13.914,
2003-10,17.362,
2004-01,18.076,
2004-04,18.834,
2004-07,19.610,
2004-10,21.157,
2005-01,22.401,
2005-04,23.038,
2005-07,23.489,
2005-10,24.486,
2006-01,25.573,
2006-04,27.137,
2006-07,27.998,
2006-10,28.105,
2007-01,28.734,
2007-04,29.748,
2007-07,30.308,
2007-10,30.201,
2008-01,30.119,
2008-04,30.795,
2008-07,31.320,
2008-10,31.231,
2009-01,31.152,
2009-04,31.528,
2009-07,31.524,
2009-10,31.250,
2010-01,30.848,
2010-04,30.629,
2010-07,31.170,
2010-10,31.328,
2011-01,31.307,
2011-04,32.019,
2011-07,31.682,
2011-10,31.310,
2012-01,30.432,
2012-04,30.487,
2012-07,30.238,
2012-10,29.687,
2013-01,29.442,
2013-04,29.303,
2013-07,28.179,
2013-10,27.877,
2014-01,28.920,
2014-04,28.299,
2014-07,27.760,
