"",BBK01.OEBB02O,BBK01.OEBB02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:47,
2002-01,0.512,
2002-04,0.729,
2002-07,0.820,
2002-10,1.097,
2003-01,0.411,
2003-04,-0.549,
2003-07,0.152,
2003-10,-0.111,
2004-01,0.130,
2004-04,-0.207,
2004-07,0.379,
2004-10,0.219,
2005-01,3.126,
2005-04,2.803,
2005-07,2.793,
2005-10,2.809,
2006-01,2.772,
2006-04,2.616,
2006-07,3.053,
2006-10,3.105,
2007-01,3.157,
2007-04,3.029,
2007-07,3.076,
2007-10,3.198,
2008-01,3.451,
2008-04,3.327,
2008-07,3.549,
2008-10,3.324,
2009-01,3.092,
2009-04,2.745,
2009-07,2.918,
2009-10,2.751,
2010-01,3.095,
2010-04,3.155,
2010-07,3.397,
2010-10,3.463,
2011-01,3.412,
2011-04,3.707,
2011-07,3.531,
2011-10,3.498,
2012-01,3.666,
2012-04,3.512,
2012-07,3.423,
2012-10,3.373,
2013-01,3.406,
2013-04,3.551,
2013-07,3.533,
2013-10,3.396,
2014-01,3.454,
2014-04,3.537,
2014-07,3.568,
