"",BBK01.OEHJ09M,BBK01.OEHJ09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:05,
2002-01,0.036,
2002-04,0.040,
2002-07,0.036,
2002-10,0.039,
2003-01,0.039,
2003-04,0.036,
2003-07,0.036,
2003-10,0.050,
2004-01,0.046,
2004-04,0.043,
2004-07,0.048,
2004-10,0.042,
2005-01,0.044,
2005-04,0.045,
2005-07,0.044,
2005-10,0.040,
2006-01,0.046,
2006-04,0.053,
2006-07,0.057,
2006-10,0.048,
2007-01,0.052,
2007-04,0.052,
2007-07,0.053,
2007-10,0.056,
2008-01,0.057,
2008-04,0.058,
2008-07,0.062,
2008-10,0.062,
2009-01,0.085,
2009-04,0.070,
2009-07,0.056,
2009-10,0.055,
2010-01,0.067,
2010-04,0.062,
2010-07,0.062,
2010-10,0.056,
2011-01,0.057,
2011-04,0.053,
2011-07,0.052,
2011-10,0.051,
2012-01,0.051,
2012-04,0.046,
2012-07,0.056,
2012-10,0.060,
2013-01,0.059,
2013-04,0.064,
2013-07,0.064,
2013-10,0.070,
2014-01,0.070,
2014-04,0.067,
2014-07,0.066,
