"",BBK01.OEAC45N,BBK01.OEAC45N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:22,
2002-01,0.800,
2002-04,0.804,
2002-07,0.786,
2002-10,0.800,
2003-01,0.843,
2003-04,0.847,
2003-07,0.835,
2003-10,0.823,
2004-01,0.795,
2004-04,0.778,
2004-07,0.790,
2004-10,0.745,
2005-01,0.728,
2005-04,0.715,
2005-07,0.800,
2005-10,0.773,
2006-01,0.763,
2006-04,0.779,
2006-07,0.771,
2006-10,0.759,
2007-01,0.752,
2007-04,0.757,
2007-07,0.690,
2007-10,0.700,
2008-01,0.710,
2008-04,0.714,
2008-07,0.706,
2008-10,0.685,
2009-01,0.683,
2009-04,0.670,
2009-07,0.672,
2009-10,0.662,
2010-01,0.666,
2010-04,0.727,
2010-07,0.719,
2010-10,0.735,
2011-01,0.728,
2011-04,0.735,
2011-07,0.735,
2011-10,0.738,
2012-01,0.761,
2012-04,0.747,
2012-07,0.716,
2012-10,0.718,
2013-01,0.680,
2013-04,0.726,
2013-07,0.711,
2013-10,0.699,
2014-01,0.721,
2014-04,0.719,
2014-07,0.734,
