"",BBK01.OECB08V,BBK01.OECB08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:22,
2002-01,6.210,
2002-04,6.148,
2002-07,6.168,
2002-10,6.023,
2003-01,5.847,
2003-04,5.786,
2003-07,5.691,
2003-10,5.613,
2004-01,5.589,
2004-04,5.834,
2004-07,5.872,
2004-10,5.546,
2005-01,6.575,
2005-04,6.525,
2005-07,6.582,
2005-10,6.441,
2006-01,6.341,
2006-04,6.282,
2006-07,6.221,
2006-10,6.215,
2007-01,6.160,
2007-04,6.098,
2007-07,6.105,
2007-10,6.017,
2008-01,5.959,
2008-04,5.974,
2008-07,5.947,
2008-10,5.909,
2009-01,5.862,
2009-04,9.333,
2009-07,9.137,
2009-10,9.035,
2010-01,8.894,
2010-04,8.802,
2010-07,6.928,
2010-10,6.783,
2011-01,7.307,
2011-04,7.187,
2011-07,7.060,
2011-10,6.910,
2012-01,6.854,
2012-04,6.764,
2012-07,6.726,
2012-10,6.720,
2013-01,6.697,
2013-04,6.673,
2013-07,6.635,
2013-10,6.855,
2014-01,6.860,
2014-04,6.878,
2014-07,6.725,
