"",BBFB1.Q.N.DE.PL.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:20,
1991-01,1101.580,
1991-04,1029.828,
1991-07,944.560,
1991-10,1113.280,
1992-01,730.180,
1992-04,821.490,
1992-07,902.816,
1992-10,1089.550,
1993-01,1031.867,
1993-04,1203.420,
1993-07,935.138,
1993-10,1077.340,
1994-01,946.733,
1994-04,1089.393,
1994-07,1085.962,
1994-10,1303.223,
1995-01,1199.856,
1995-04,1382.167,
1995-07,1664.175,
1995-10,1916.203,
1996-01,1556.416,
1996-04,1755.267,
1996-07,1863.879,
1996-10,2160.571,
1997-01,2009.683,
1997-04,2376.445,
1997-07,2376.179,
1997-10,2555.695,
1998-01,2677.298,
1998-04,2756.514,
1998-07,2836.395,
1998-10,2825.196,
1999-01,2578.386,
1999-04,2644.534,
1999-07,2876.055,
1999-10,3247.062,
2000-01,3096.193,
2000-04,3411.916,
2000-07,3573.207,
2000-10,3757.511,
2001-01,3634.726,
2001-04,3605.581,
2001-07,3757.093,
2001-10,3822.152,
2002-01,3683.986,
2002-04,3937.367,
2002-07,3870.430,
2002-10,3952.484,
2003-01,3564.562,
2003-04,3842.703,
2003-07,3995.486,
2003-10,3914.382,
2004-01,4247.449,
2004-04,4525.960,
2004-07,3943.235,
2004-10,3996.963,
2005-01,4283.149,
2005-04,4950.985,
2005-07,5190.922,
2005-10,5778.589,
2006-01,5792.093,
2006-04,6294.451,
2006-07,6454.601,
2006-10,7305.240,
2007-01,7722.845,
2007-04,8297.720,
2007-07,8600.227,
2007-10,8740.301,
2008-01,9129.058,
2008-04,9431.529,
2008-07,9568.997,
2008-10,8640.227,
2009-01,7141.847,
2009-04,6675.726,
2009-07,7259.552,
2009-10,7375.547,
2010-01,7750.878,
2010-04,8170.833,
2010-07,8502.755,
2010-10,9394.787,
2011-01,9489.944,
2011-04,10071.537,
2011-07,10016.805,
2011-10,9271.280,
2012-01,9518.732,
2012-04,9589.765,
2012-07,9719.217,
2012-10,9336.027,
2013-01,9501.625,
2013-04,9599.660,
2013-07,9994.470,
2013-10,10283.529,
2014-01,10529.085,Provisional value
2014-04,10490.096,Provisional value
2014-07,11149.888,Provisional value
