"",BBK01.OEAI10G,BBK01.OEAI10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:04,
2002-01,2.787,
2002-04,2.702,
2002-07,2.642,
2002-10,2.571,
2003-01,2.447,
2003-04,2.365,
2003-07,2.316,
2003-10,2.273,
2004-01,2.242,
2004-04,2.151,
2004-07,2.084,
2004-10,2.003,
2005-01,0.448,
2005-04,0.437,
2005-07,0.402,
2005-10,0.384,
2006-01,0.316,
2006-04,0.312,
2006-07,0.300,
2006-10,0.288,
2007-01,0.274,
2007-04,0.262,
2007-07,0.252,
2007-10,0.240,
2008-01,0.228,
2008-04,0.221,
2008-07,0.210,
2008-10,0.200,
2009-01,0.193,
2009-04,0.191,
2009-07,0.167,
2009-10,0.193,
2010-01,0.222,
2010-04,0.201,
2010-07,0.183,
2010-10,0.165,
2011-01,0.156,
2011-04,0.118,
2011-07,0.110,
2011-10,0.107,
2012-01,0.102,
2012-04,0.102,
2012-07,0.088,
2012-10,0.084,
2013-01,0.079,
2013-04,0.088,
2013-07,0.076,
2013-10,0.077,
2014-01,0.083,
2014-04,0.082,
2014-07,0.078,
