"",BBK01.OEAD26N,BBK01.OEAD26N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:33,
2002-01,0.396,
2002-04,0.449,
2002-07,0.411,
2002-10,0.457,
2003-01,0.467,
2003-04,0.486,
2003-07,0.491,
2003-10,0.541,
2004-01,0.516,
2004-04,0.564,
2004-07,0.571,
2004-10,0.609,
2005-01,0.640,
2005-04,0.607,
2005-07,0.623,
2005-10,0.599,
2006-01,0.648,
2006-04,0.655,
2006-07,1.040,
2006-10,0.869,
2007-01,0.786,
2007-04,0.724,
2007-07,0.684,
2007-10,1.042,
2008-01,1.378,
2008-04,1.516,
2008-07,1.644,
2008-10,2.093,
2009-01,1.705,
2009-04,1.972,
2009-07,2.105,
2009-10,2.413,
2010-01,1.789,
2010-04,1.801,
2010-07,1.636,
2010-10,1.547,
2011-01,1.518,
2011-04,1.529,
2011-07,1.486,
2011-10,1.473,
2012-01,1.527,
2012-04,1.541,
2012-07,1.537,
2012-10,1.508,
2013-01,1.542,
2013-04,1.503,
2013-07,1.435,
2013-10,1.432,
2014-01,1.803,
2014-04,1.718,
2014-07,1.786,
