"",BBK01.CEB30I,BBK01.CEB30I_FLAGS
"",Securities other than shares  debtor: All sectors                      creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:06,
1991-01,167.9,
1991-04,181.5,
1991-07,179.1,
1991-10,178.0,
1992-01,193.3,
1992-04,192.0,
1992-07,184.1,
1992-10,173.3,
1993-01,187.8,
1993-04,166.0,
1993-07,169.9,
1993-10,169.1,
1994-01,167.1,
1994-04,163.1,
1994-07,164.5,
1994-10,171.3,
1995-01,200.8,
1995-04,213.6,
1995-07,216.3,
1995-10,218.7,
1996-01,205.4,
1996-04,211.8,
1996-07,221.7,
1996-10,230.0,
1997-01,225.0,
1997-04,234.5,
1997-07,234.6,
1997-10,235.8,
1998-01,222.7,
1998-04,225.6,
1998-07,230.5,
1998-10,228.7,
1999-01,249.3,
1999-04,245.2,
1999-07,235.3,
1999-10,229.9,
2000-01,223.7,
2000-04,221.5,
2000-07,231.1,
2000-10,227.8,
2001-01,211.1,
2001-04,214.8,
2001-07,203.3,
2001-10,246.9,
2002-01,230.7,
2002-04,233.9,
2002-07,247.0,
2002-10,264.5,
2003-01,274.1,
2003-04,289.2,
2003-07,288.7,
2003-10,284.7,
2004-01,305.1,
2004-04,311.2,
2004-07,322.3,
2004-10,322.5,
2005-01,323.1,
2005-04,322.4,
2005-07,333.7,
2005-10,319.8,
2006-01,246.1,
2006-04,256.9,
2006-07,266.8,
2006-10,274.9,
2007-01,291.2,
2007-04,303.0,
2007-07,308.7,
2007-10,297.0,
2008-01,287.7,
2008-04,285.5,
2008-07,280.8,
2008-10,267.1,
2009-01,257.0,
2009-04,258.5,
2009-07,266.7,
2009-10,265.5,
2010-01,264.7,
2010-04,259.1,
2010-07,259.6,
2010-10,254.1,
2011-01,254.8,
2011-04,258.3,
2011-07,247.8,
2011-10,247.1,
2012-01,249.6,
2012-04,245.4,
2012-07,244.8,
2012-10,238.2,
2013-01,231.7,
2013-04,221.9,
2013-07,220.0,
2013-10,216.0,
2014-01,214.6,
