"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.US.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.US.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / United States,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:04,
2009-09,39627,
2009-10,39550,
2009-11,40050,
2009-12,40928,
2010-01,41627,
2010-02,41433,
2010-03,41486,
2010-04,42360,
2010-05,43655,
2010-06,43704,
2010-07,42538,
2010-08,44231,
2010-09,43084,
2010-10,43189,
2010-11,44124,
2010-12,43147,
2011-01,42462,
2011-02,42485,
2011-03,41351,
2011-04,40412,
2011-05,41080,
2011-06,40532,
2011-07,41132,
2011-08,40280,
2011-09,40968,
2011-10,40378,
2011-11,40623,
2011-12,42355,
2012-01,42896,
2012-02,42818,
2012-03,42652,
2012-04,43747,
2012-05,45951,
2012-06,45685,
2012-07,47516,
2012-08,47321,
2012-09,47535,
2012-10,48112,
2012-11,49672,
2012-12,49516,
2013-01,48966,
2013-02,51231,
2013-03,52350,
2013-04,53158,
2013-05,53110,
2013-06,52159,
2013-07,54118,
2013-08,54487,
2013-09,54771,
2013-10,55045,
2013-11,59035,
2013-12,59052,
2014-01,60558,
2014-02,57993,
2014-03,58901,
2014-04,59365,
2014-05,61033,
2014-06,62593,
2014-07,63838,
2014-08,66233,
2014-09,70421,
2014-10,72311,
2014-11,75338,
