"",BBK01.QUA514,BBK01.QUA514_FLAGS
"","All foreign subsidiaries: Claims on non-residents, total / Slovakia / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:20,
2005-12,3.088,
2006-01,3.038,
2006-02,2.911,
2006-03,3.156,
2006-04,2.970,
2006-05,2.649,
2006-06,2.766,
2006-07,2.468,
2006-08,2.896,
2006-09,2.912,
2006-10,3.022,
2006-11,2.953,
2006-12,3.091,
2007-01,0.056,
2007-02,0.054,
2007-03,0.059,
2007-04,0.064,
2007-05,0.071,
2007-06,0.074,
2007-07,0.074,
2007-08,0.075,
2007-09,0.109,
2007-10,0.130,
2007-11,0.122,
2007-12,0.119,
2008-01,0.132,
2008-02,0.161,
2008-03,0.175,
2008-04,0.162,
2008-05,0.179,
2008-06,0.175,
2008-07,0.193,
2008-08,0.196,
2008-09,0.218,
2008-10,0.250,
2008-11,0.240,
2008-12,0.413,
2009-01,0.271,
2009-02,0.276,
2009-03,0.310,
2009-04,0.297,
2009-05,0.299,
2009-06,0.297,
2009-07,0.300,
2009-08,0.300,
2009-09,0.301,
2009-10,0.290,
2009-11,0.294,
2009-12,0.200,
2010-01,0.203,
2010-02,0.203,
2010-03,0.206,
2010-04,0.201,
2010-05,0.203,
2010-06,0.204,
2010-07,0.206,
2010-08,0.207,
2010-09,0.207,
2010-10,0.210,
2010-11,0.198,
2010-12,0.196,
2011-01,0.194,
2011-02,0.165,
2011-03,0.166,
2011-04,0.183,
2011-05,0.183,
2011-06,0.180,
2011-07,0.178,
2011-08,0.178,
2011-09,0.171,
2011-10,0.169,
2011-11,0.168,
2011-12,0.164,
2012-01,0.164,
2012-02,0.163,
2012-03,0.165,
2012-04,0.162,
2012-05,0.140,
2012-06,0.140,
2012-07,0.140,
2012-08,0.148,
2012-09,0.149,
2012-10,0.143,
2012-11,0.142,
2012-12,0.145,
2013-01,0.146,
2013-02,0.164,
2013-03,0.165,
2013-04,0.171,
2013-05,0.174,
2013-06,0.174,
2013-07,0.177,
2013-08,0.180,
2013-09,0.182,
2013-10,0.184,
2013-11,0.180,
2013-12,0.181,
2014-01,0.200,
2014-02,0.203,
2014-03,0.206,
2014-04,0.210,
2014-05,0.190,
2014-06,0.195,
2014-07,0.201,
2014-08,0.206,
2014-09,0.191,
2014-10,0.198,
2014-11,0.203,
