"",BBK01.OEAH48M,BBK01.OEAH48M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:55,
2002-01,0.030,
2002-04,0.028,
2002-07,0.027,
2002-10,0.028,
2003-01,0.030,
2003-04,0.024,
2003-07,0.023,
2003-10,0.023,
2004-01,0.022,
2004-04,0.024,
2004-07,0.025,
2004-10,0.021,
2005-01,0.022,
2005-04,0.019,
2005-07,0.020,
2005-10,0.021,
2006-01,0.022,
2006-04,0.028,
2006-07,0.029,
2006-10,0.033,
2007-01,0.033,
2007-04,0.037,
2007-07,0.042,
2007-10,0.103,
2008-01,0.191,
2008-04,0.226,
2008-07,0.295,
2008-10,0.362,
2009-01,0.348,
2009-04,0.345,
2009-07,0.284,
2009-10,0.249,
2010-01,0.173,
2010-04,0.096,
2010-07,0.079,
2010-10,0.075,
2011-01,0.081,
2011-04,0.089,
2011-07,0.092,
2011-10,0.111,
2012-01,0.122,
2012-04,0.117,
2012-07,0.109,
2012-10,0.088,
2013-01,0.064,
2013-04,0.057,
2013-07,0.051,
2013-10,0.052,
2014-01,0.046,
2014-04,0.047,
2014-07,0.049,
