"",BBK01.OEXL07G,BBK01.OEXL07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:26,
2002-01,29.026,
2002-04,29.309,
2002-07,29.557,
2002-10,32.647,
2003-01,34.491,
2003-04,34.821,
2003-07,35.425,
2003-10,37.586,
2004-01,38.662,
2004-04,38.962,
2004-07,39.029,
2004-10,40.340,
2005-01,4.701,
2005-04,4.800,
2005-07,2.472,
2005-10,2.512,
2006-01,2.434,
2006-04,2.460,
2006-07,2.457,
2006-10,2.553,
2007-01,2.862,
2007-04,3.001,
2007-07,3.154,
2007-10,3.481,
2008-01,3.572,
2008-04,3.613,
2008-07,3.644,
2008-10,4.374,
2009-01,4.244,
2009-04,4.177,
2009-07,4.238,
2009-10,3.906,
2010-01,3.592,
2010-04,3.420,
2010-07,3.318,
2010-10,3.705,
2011-01,3.965,
2011-04,3.913,
2011-07,3.877,
2011-10,3.790,
2012-01,3.624,
2012-04,3.698,
2012-07,3.588,
2012-10,3.395,
2013-01,3.055,
2013-04,2.787,
2013-07,2.749,
2013-10,2.717,
2014-01,2.844,
2014-04,2.775,
2014-07,2.763,
