"",BBFN1.M.DE.N.1.L.TR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Turkey,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:48,
1994-07,0.194,
1994-08,0.195,
1994-09,0.211,
1994-10,0.195,
1994-11,0.214,
1994-12,0.230,
1995-01,0.221,
1995-02,0.216,
1995-03,0.219,
1995-04,0.232,
1995-05,0.212,
1995-06,0.205,
1995-07,0.205,
1995-08,0.226,
1995-09,0.273,
1995-10,0.249,
1995-11,0.236,
1995-12,0.239,
1996-01,0.234,
1996-02,0.221,
1996-03,0.206,
1996-04,0.200,
1996-05,0.203,
1996-06,0.205,
1996-07,0.209,
1996-08,0.219,
1996-09,0.219,
1996-10,0.211,
1996-11,0.229,
1996-12,0.259,
1997-01,0.228,
1997-02,0.215,
1997-03,0.228,
1997-04,0.227,
1997-05,0.227,
1997-06,0.231,
1997-07,0.224,
1997-08,0.221,
1997-09,0.241,
1997-10,0.236,
1997-11,0.247,
1997-12,0.264,
1998-01,0.262,
1998-02,0.285,
1998-03,0.312,
1998-04,0.292,
1998-05,0.310,
1998-06,0.279,
1998-07,0.276,
1998-08,0.286,
1998-09,0.291,
1998-10,0.336,
1998-11,0.304,
1998-12,0.302,
1999-01,0.281,
1999-02,0.302,
1999-03,0.305,
1999-04,0.286,
1999-05,0.315,
1999-06,0.303,
1999-07,0.317,
1999-08,0.305,
1999-09,0.313,
1999-10,0.338,
1999-11,0.313,
1999-12,0.313,
2000-01,0.325,
2000-02,0.311,
2000-03,0.343,
2000-04,0.349,
2000-05,0.332,
2000-06,0.352,
2000-07,0.385,
2000-08,0.365,
2000-09,0.374,
2000-10,0.366,
2000-11,0.391,
2000-12,0.433,
2001-01,0.373,
2001-02,0.352,
2001-03,0.396,
2001-04,0.385,
2001-05,0.430,
2001-06,0.454,
2001-07,0.447,
2001-08,0.427,
2001-09,0.434,
2001-10,0.457,
2001-11,0.411,
2001-12,0.452,
2002-01,0.400,
2002-02,0.397,
2002-03,0.372,
2002-04,0.370,
2002-05,0.368,
2002-06,0.355,
2002-07,0.353,
2002-08,0.359,
2002-09,0.396,
2002-10,0.438,
2002-11,0.460,
2002-12,0.485,
2003-01,0.390,
2003-02,0.364,
2003-03,0.374,
2003-04,0.380,
2003-05,0.367,
2003-06,0.372,
2003-07,0.358,
2003-08,0.364,
2003-09,0.383,
2003-10,0.382,
2003-11,0.391,
2003-12,0.441,
2004-01,0.377,
2004-02,0.345,
2004-03,0.367,
2004-04,0.317,
2004-05,0.357,
2004-06,0.400,
2004-07,0.431,
2004-08,0.470,
2004-09,0.528,
2004-10,0.548,
2004-11,0.382,
2004-12,0.425,
2005-01,0.346,
2005-02,0.366,
2005-03,0.499,
2005-04,0.414,
2005-05,0.417,
2005-06,0.427,
2005-07,0.424,
2005-08,0.406,
2005-09,0.495,
2005-10,0.460,
2005-11,0.431,
2005-12,0.518,
2006-01,0.402,
2006-02,0.406,
2006-03,0.455,
2006-04,0.408,
2006-05,0.441,
2006-06,0.406,
2006-07,0.403,
2006-08,0.387,
2006-09,0.466,
2006-10,0.440,
2006-11,0.430,
2006-12,0.445,
2007-01,0.429,
2007-02,0.437,
2007-03,0.436,
2007-04,0.446,
2007-05,0.426,
2007-06,0.508,
2007-07,0.504,
2007-08,0.420,
2007-09,0.420,
2007-10,0.430,
2007-11,0.470,
2007-12,0.506,
2008-01,0.447,
2008-02,0.504,
2008-03,0.522,
2008-04,0.458,
2008-05,0.468,
2008-06,0.501,
2008-07,0.484,
2008-08,0.487,
2008-09,0.528,
2008-10,0.471,
2008-11,0.454,
2008-12,0.463,
2009-01,0.395,
2009-02,0.420,
2009-03,0.459,
2009-04,0.441,
2009-05,0.436,
2009-06,0.481,
2009-07,0.467,
2009-08,0.417,
2009-09,0.476,
2009-10,0.542,
2009-11,0.539,
2009-12,0.503,
2010-01,0.450,
2010-02,0.477,
2010-03,0.502,
2010-04,0.522,
2010-05,0.537,
2010-06,0.536,
2010-07,0.562,
2010-08,0.566,
2010-09,0.614,
2010-10,0.675,
2010-11,0.646,
2010-12,0.644,
2011-01,0.592,
2011-02,0.607,
2011-03,0.620,
2011-04,0.622,
2011-05,0.590,
2011-06,0.605,
2011-07,0.615,
2011-08,0.668,
2011-09,0.675,
2011-10,0.731,
2011-11,0.720,
2011-12,0.801,
2012-01,0.744,
2012-02,0.797,
2012-03,0.833,
2012-04,0.766,
2012-05,0.778,
2012-06,0.842,
2012-07,0.780,
2012-08,0.746,
2012-09,0.750,
2012-10,0.734,
2012-11,0.749,
2012-12,0.798,
2013-01,0.694,
2013-02,0.728,
2013-03,0.776,
2013-04,0.809,
2013-05,0.814,
2013-06,0.844,
2013-07,0.840,
2013-08,0.837,
2013-09,0.933,
2013-10,0.911,
2013-11,1.022,
2013-12,1.062,
2014-01,1.026,
2014-02,1.021,
2014-03,0.921,
2014-04,1.093,
2014-05,0.945,
2014-06,1.030,
2014-07,1.005,
2014-08,0.966,
2014-09,1.051,
2014-10,1.021,
2014-11,1.054,
2014-12,1.086,
