"",BBK01.OEHJ02N,BBK01.OEHJ02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:21,
2002-01,7.521,
2002-04,7.903,
2002-07,7.879,
2002-10,9.093,
2003-01,8.757,
2003-04,9.095,
2003-07,9.127,
2003-10,9.991,
2004-01,9.359,
2004-04,9.481,
2004-07,9.723,
2004-10,10.487,
2005-01,9.850,
2005-04,10.678,
2005-07,10.981,
2005-10,11.731,
2006-01,11.104,
2006-04,10.880,
2006-07,10.742,
2006-10,12.176,
2007-01,11.392,
2007-04,11.496,
2007-07,11.946,
2007-10,12.016,
2008-01,11.863,
2008-04,11.715,
2008-07,12.331,
2008-10,13.315,
2009-01,14.149,
2009-04,15.333,
2009-07,17.144,
2009-10,18.040,
2010-01,17.345,
2010-04,18.269,
2010-07,18.725,
2010-10,19.749,
2011-01,18.026,
2011-04,17.825,
2011-07,19.662,
2011-10,20.156,
2012-01,20.242,
2012-04,21.542,
2012-07,22.899,
2012-10,23.296,
2013-01,22.567,
2013-04,22.766,
2013-07,24.423,
2013-10,24.993,
2014-01,25.030,
2014-04,25.154,
2014-07,25.892,
