"",BBK01.OEAC53I,BBK01.OEAC53I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:18,
2002-01,0.411,
2002-04,0.389,
2002-07,0.381,
2002-10,0.369,
2003-01,0.371,
2003-04,0.363,
2003-07,0.305,
2003-10,0.289,
2004-01,0.287,
2004-04,0.233,
2004-07,0.360,
2004-10,0.358,
2005-01,0.385,
2005-04,0.378,
2005-07,0.384,
2005-10,0.354,
2006-01,0.329,
2006-04,0.332,
2006-07,0.508,
2006-10,0.656,
2007-01,0.735,
2007-04,0.722,
2007-07,0.621,
2007-10,0.635,
2008-01,0.650,
2008-04,0.685,
2008-07,0.671,
2008-10,0.474,
2009-01,0.541,
2009-04,0.752,
2009-07,0.953,
2009-10,0.997,
2010-01,1.119,
2010-04,1.232,
2010-07,1.420,
2010-10,1.506,
2011-01,1.380,
2011-04,1.475,
2011-07,1.594,
2011-10,1.741,
2012-01,1.752,
2012-04,1.874,
2012-07,1.978,
2012-10,1.984,
2013-01,1.982,
2013-04,2.232,
2013-07,2.165,
2013-10,2.335,
2014-01,2.406,
2014-04,2.488,
2014-07,2.461,
