"",BBK01.CEH902,BBK01.CEH902_FLAGS
"",Other mutual funds shares\n debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:12,
1991-01,2.1,
1991-04,2.1,
1991-07,2.2,
1991-10,2.6,
1992-01,3.6,
1992-04,2.0,
1992-07,2.6,
1992-10,4.1,
1993-01,2.9,
1993-04,2.5,
1993-07,4.6,
1993-10,8.2,
1994-01,3.9,
1994-04,2.9,
1994-07,2.7,
1994-10,3.7,
1995-01,3.6,
1995-04,2.3,
1995-07,3.0,
1995-10,6.2,
1996-01,8.9,
1996-04,5.2,
1996-07,3.7,
1996-10,9.4,
1997-01,10.9,
1997-04,10.3,
1997-07,9.0,
1997-10,13.2,
1998-01,14.0,
1998-04,10.4,
1998-07,12.4,
1998-10,17.9,
1999-01,12.1,
1999-04,11.5,
1999-07,6.1,
1999-10,19.3,
2000-01,10.6,
2000-04,12.4,
2000-07,10.9,
2000-10,15.7,
2001-01,11.5,
2001-04,2.6,
2001-07,4.1,
2001-10,17.5,
2002-01,3.2,
2002-04,10.2,
2002-07,0.4,
2002-10,13.0,
2003-01,1.2,
2003-04,4.1,
2003-07,3.3,
2003-10,2.8,
2004-01,5.0,
2004-04,-0.1,
2004-07,-4.6,
2004-10,7.5,
2005-01,15.2,
2005-04,9.5,
2005-07,12.9,
2005-10,17.6,
2006-01,18.6,
2006-04,2.3,
2006-07,13.4,
2006-10,32.2,
2007-01,2.9,
2007-04,8.7,
2007-07,-6.0,
2007-10,-5.9,
2008-01,9.2,
2008-04,-6.9,
2008-07,1.8,
2008-10,5.9,
2009-01,4.4,
2009-04,5.2,
2009-07,6.6,
2009-10,17.6,
2010-01,21.7,
2010-04,14.0,
2010-07,15.0,
2010-10,17.7,
2011-01,12.8,
2011-04,22.4,
2011-07,0.2,
2011-10,20.2,
2012-01,31.6,
2012-04,8.4,
2012-07,22.2,
2012-10,32.4,
2013-01,36.0,
2013-04,5.4,
2013-07,23.0,
2013-10,27.1,
2014-01,22.5,
