"",BBK01.OELB01U,BBK01.OELB01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:40,
2002-01,2.577,
2002-04,2.542,
2002-07,2.530,
2002-10,2.515,
2003-01,2.477,
2003-04,2.472,
2003-07,2.473,
2003-10,2.409,
2004-01,2.418,
2004-04,2.395,
2004-07,2.366,
2004-10,2.467,
2005-01,2.366,
2005-04,2.331,
2005-07,2.325,
2005-10,2.317,
2006-01,2.310,
2006-04,2.305,
2006-07,2.302,
2006-10,2.234,
2007-01,2.214,
2007-04,2.217,
2007-07,2.235,
2007-10,2.232,
2008-01,2.224,
2008-04,2.248,
2008-07,2.254,
2008-10,2.247,
2009-01,2.245,
2009-04,2.267,
2009-07,2.287,
2009-10,2.312,
2010-01,2.307,
2010-04,2.469,
2010-07,2.482,
2010-10,2.506,
2011-01,2.531,
2011-04,2.589,
2011-07,2.626,
2011-10,2.647,
2012-01,2.666,
2012-04,3.092,
2012-07,3.140,
2012-10,3.180,
2013-01,3.209,
2013-04,3.265,
2013-07,3.336,
2013-10,3.378,
2014-01,3.404,
2014-04,3.447,
2014-07,3.535,
