"",BBSF2.M.1.T.00000.REN01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.REN01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Bonds funds / Long-term debt securities / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:27,
2009-09,55858,
2009-10,54389,
2009-11,54954,
2009-12,55339,
2010-01,56515,
2010-02,57651,
2010-03,58711,
2010-04,60601,
2010-05,60997,
2010-06,60460,
2010-07,59335,
2010-08,60711,
2010-09,59938,
2010-10,58353,
2010-11,57678,
2010-12,57616,
2011-01,56075,
2011-02,55295,
2011-03,54037,
2011-04,52603,
2011-05,53176,
2011-06,53489,
2011-07,55407,
2011-08,57175,
2011-09,58259,
2011-10,57700,
2011-11,57370,
2011-12,60373,
2012-01,59859,
2012-02,59186,
2012-03,58176,
2012-04,57682,
2012-05,59445,
2012-06,58515,
2012-07,60084,
2012-08,59694,
2012-09,58484,
2012-10,57747,
2012-11,56223,
2012-12,56157,
2013-01,54194,
2013-02,54641,
2013-03,54940,
2013-04,54412,
2013-05,53404,
2013-06,52669,
2013-07,52645,
2013-08,52398,
2013-09,51522,
2013-10,50186,
2013-11,48944,
2013-12,48658,
2014-01,48562,
2014-02,48928,
2014-03,48741,
2014-04,47704,
2014-05,48175,
2014-06,47514,
2014-07,47763,
2014-08,48947,
2014-09,49009,
2014-10,49067,
2014-11,48772,
