"",BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Goods / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:33,
1991-01,26.73,
1991-02,24.69,
1991-03,25.19,
1991-04,24.19,
1991-05,27.19,
1991-06,25.53,
1991-07,26.47,
1991-08,26.15,
1991-09,26.09,
1991-10,25.83,
1991-11,25.98,
1991-12,25.06,
1992-01,26.24,
1992-02,25.96,
1992-03,25.33,
1992-04,26.59,
1992-05,25.23,
1992-06,23.75,
1992-07,26.19,
1992-08,23.99,
1992-09,24.41,
1992-10,24.25,
1992-11,23.93,
1992-12,24.67,
1993-01,22.35,
1993-02,23.49,
1993-03,21.67,
1993-04,22.78,
1993-05,21.71,
1993-06,21.47,
1993-07,22.18,
1993-08,22.55,
1993-09,22.15,
1993-10,21.76,
1993-11,23.01,
1993-12,22.34,
1994-01,22.20,
1994-02,22.85,
1994-03,24.18,
1994-04,23.13,
1994-05,24.50,
1994-06,24.05,
1994-07,24.16,
1994-08,24.10,
1994-09,24.74,
1994-10,24.76,
1994-11,24.97,
1994-12,26.34,
1995-01,24.31,
1995-02,25.77,
1995-03,26.83,
1995-04,25.00,
1995-05,25.77,
1995-06,27.02,
1995-07,25.81,
1995-08,24.98,
1995-09,26.95,
1995-10,26.28,
1995-11,25.73,
1995-12,26.89,
1996-01,28.21,
1996-02,25.61,
1996-03,26.50,
1996-04,26.64,
1996-05,25.74,
1996-06,27.16,
1996-07,26.51,
1996-08,26.12,
1996-09,26.90,
1996-10,27.77,
1996-11,27.21,
1996-12,28.85,
1997-01,29.51,
1997-02,29.22,
1997-03,29.32,
1997-04,28.10,
1997-05,29.87,
1997-06,30.02,
1997-07,30.93,
1997-08,31.00,
1997-09,30.85,
1997-10,31.81,
1997-11,31.14,
1997-12,30.83,
1998-01,34.61,
1998-02,32.39,
1998-03,31.27,
1998-04,34.25,
1998-05,30.80,
1998-06,33.00,
1998-07,32.99,
1998-08,32.30,
1998-09,30.98,
1998-10,31.67,
1998-11,29.97,
1998-12,32.01,
1999-01,33.23,
1999-02,32.71,
1999-03,32.07,
1999-04,32.91,
1999-05,34.45,
1999-06,33.32,
1999-07,34.33,
1999-08,36.65,
1999-09,34.28,
1999-10,34.53,
1999-11,35.59,
1999-12,35.36,
2000-01,38.32,
2000-02,36.54,
2000-03,39.62,
2000-04,38.03,
2000-05,41.85,
2000-06,39.72,
2000-07,41.45,
2000-08,43.42,
2000-09,42.59,
2000-10,44.56,
2000-11,44.96,
2000-12,46.52,
2001-01,43.66,
2001-02,43.54,
2001-03,40.99,
2001-04,43.94,
2001-05,41.38,
2001-06,42.77,
2001-07,42.13,
2001-08,40.78,
2001-09,41.20,
2001-10,40.32,
2001-11,39.93,
2001-12,38.94,
2002-01,37.03,
2002-02,38.34,
2002-03,38.79,
2002-04,40.42,
2002-05,37.46,
2002-06,40.62,
2002-07,38.43,
2002-08,39.69,
2002-09,39.47,
2002-10,39.73,
2002-11,40.39,
2002-12,40.80,
2003-01,41.95,
2003-02,41.27,
2003-03,41.45,
2003-04,40.34,
2003-05,39.62,
2003-06,41.01,
2003-07,40.00,
2003-08,40.17,
2003-09,39.85,
2003-10,40.62,
2003-11,42.49,
2003-12,42.03,
2004-01,41.70,
2004-02,42.96,
2004-03,42.02,
2004-04,42.40,
2004-05,43.56,
2004-06,44.11,
2004-07,45.66,
2004-08,44.49,
2004-09,45.61,
2004-10,45.75,
2004-11,47.43,
2004-12,44.74,
2005-01,45.52,
2005-02,44.39,
2005-03,44.22,
2005-04,46.80,
2005-05,48.62,
2005-06,47.52,
2005-07,48.71,
2005-08,49.22,
2005-09,49.88,
2005-10,51.41,
2005-11,51.57,
2005-12,53.51,
2006-01,54.23,
2006-02,54.59,
2006-03,55.31,
2006-04,55.28,
2006-05,55.88,
2006-06,57.04,
2006-07,56.78,
2006-08,55.82,
2006-09,59.16,
2006-10,58.88,
2006-11,58.33,
2006-12,59.24,
2007-01,58.62,
2007-02,61.40,
2007-03,59.59,
2007-04,60.03,
2007-05,59.12,
2007-06,61.03,
2007-07,59.85,
2007-08,62.19,
2007-09,60.96,
2007-10,60.87,
2007-11,60.78,
2007-12,62.74,
2008-01,63.70,
2008-02,64.12,
2008-03,62.98,
2008-04,63.20,
2008-05,63.51,
2008-06,63.64,
2008-07,67.11,
2008-08,65.53,
2008-09,66.15,
2008-10,64.26,
2008-11,61.66,
2008-12,57.94,
2009-01,55.98,
2009-02,54.20,
2009-03,52.77,
2009-04,51.11,
2009-05,48.68,
2009-06,49.83,
2009-07,51.10,
2009-08,51.47,
2009-09,55.12,
2009-10,52.71,
2009-11,52.39,
2009-12,53.72,
2010-01,54.47,
2010-02,54.66,
2010-03,61.85,
2010-04,58.90,
2010-05,64.91,
2010-06,65.95,
2010-07,64.57,
2010-08,65.09,
2010-09,64.99,
2010-10,64.60,
2010-11,68.44,
2010-12,66.70,
2011-01,68.84,
2011-02,70.27,
2011-03,72.20,
2011-04,71.88,
2011-05,72.79,
2011-06,73.41,
2011-07,72.64,
2011-08,73.04,
2011-09,72.86,
2011-10,72.61,
2011-11,72.20,
2011-12,72.31,
2012-01,71.24,
2012-02,73.97,
2012-03,75.01,
2012-04,71.40,
2012-05,75.10,
2012-06,73.36,
2012-07,73.13,
2012-08,73.67,
2012-09,72.73,
2012-10,75.04,
2012-11,71.93,
2012-12,71.36,
2013-01,73.46,
2013-02,72.25,
2013-03,70.96,
2013-04,72.33,
2013-05,72.67,
2013-06,72.14,
2013-07,74.33,
2013-08,74.97,
2013-09,73.24,
2013-10,73.63,
2013-11,74.49,
2013-12,73.53,
2014-01,74.99,
2014-02,75.02,
2014-03,72.05,
