"",BBK01.OELJ08T,BBK01.OELJ08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:08,
2002-01,0.012,
2002-04,0.010,
2002-07,0.010,
2002-10,0.010,
2003-01,0.011,
2003-04,0.012,
2003-07,0.011,
2003-10,0.012,
2004-01,0.012,
2004-04,0.010,
2004-07,0.010,
2004-10,0.011,
2005-01,0.012,
2005-04,0.014,
2005-07,0.012,
2005-10,0.012,
2006-01,0.011,
2006-04,0.013,
2006-07,0.013,
2006-10,0.012,
2007-01,0.010,
2007-04,0.010,
2007-07,0.010,
2007-10,0.012,
2008-01,0.012,
2008-04,0.012,
2008-07,0.013,
2008-10,0.013,
2009-01,0.014,
2009-04,0.014,
2009-07,0.016,
2009-10,0.014,
2010-01,0.014,
2010-04,0.013,
2010-07,0.011,
2010-10,0.009,
2011-01,0.010,
2011-04,0.009,
2011-07,0.007,
2011-10,0.008,
2012-01,0.009,
2012-04,0.010,
2012-07,0.014,
2012-10,0.014,
2013-01,0.045,
2013-04,0.051,
2013-07,0.057,
2013-10,0.060,
2014-01,0.064,
2014-04,0.061,
2014-07,0.018,
