"",BBK01.OEAH26V,BBK01.OEAH26V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:55,
2002-01,18.791,
2002-04,18.121,
2002-07,18.084,
2002-10,18.780,
2003-01,19.035,
2003-04,19.109,
2003-07,19.338,
2003-10,19.799,
2004-01,19.898,
2004-04,20.081,
2004-07,20.050,
2004-10,20.351,
2005-01,21.703,
2005-04,21.481,
2005-07,21.402,
2005-10,21.665,
2006-01,21.564,
2006-04,21.125,
2006-07,20.656,
2006-10,20.565,
2007-01,20.222,
2007-04,19.820,
2007-07,19.294,
2007-10,19.348,
2008-01,19.146,
2008-04,18.853,
2008-07,18.486,
2008-10,18.778,
2009-01,19.048,
2009-04,19.095,
2009-07,19.309,
2009-10,19.805,
2010-01,20.056,
2010-04,20.120,
2010-07,20.470,
2010-10,20.869,
2011-01,20.792,
2011-04,20.714,
2011-07,20.775,
2011-10,21.097,
2012-01,21.438,
2012-04,21.643,
2012-07,21.960,
2012-10,22.450,
2013-01,22.610,
2013-04,22.687,
2013-07,22.744,
2013-10,22.946,
2014-01,23.075,
2014-04,22.944,
2014-07,22.980,
