"",BBK01.OEBB22H,BBK01.OEBB22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:49,
2002-01,1.184,
2002-04,1.440,
2002-07,1.244,
2002-10,1.795,
2003-01,1.475,
2003-04,1.969,
2003-07,2.175,
2003-10,2.966,
2004-01,0.344,
2004-04,0.299,
2004-07,0.273,
2004-10,0.313,
2005-01,0.424,
2005-04,0.709,
2005-07,0.797,
2005-10,0.341,
2006-01,0.300,
2006-04,0.257,
2006-07,0.252,
2006-10,0.225,
2007-01,0.203,
2007-04,0.184,
2007-07,0.258,
2007-10,0.203,
2008-01,0.160,
2008-04,0.390,
2008-07,0.798,
2008-10,0.510,
2009-01,0.660,
2009-04,1.016,
2009-07,1.081,
2009-10,1.175,
2010-01,1.069,
2010-04,1.276,
2010-07,1.728,
2010-10,1.735,
2011-01,1.982,
2011-04,2.403,
2011-07,3.547,
2011-10,7.384,
2012-01,4.923,
2012-04,4.143,
2012-07,4.123,
2012-10,2.578,
2013-01,2.659,
2013-04,2.604,
2013-07,2.574,
2013-10,2.425,
2014-01,0.854,
2014-04,0.652,
2014-07,0.796,
