"",BBK01.OEXL06V,BBK01.OEXL06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:25,
2002-01,0.252,
2002-04,0.257,
2002-07,0.241,
2002-10,0.241,
2003-01,0.238,
2003-04,0.159,
2003-07,0.147,
2003-10,0.144,
2004-01,0.158,
2004-04,0.099,
2004-07,0.100,
2004-10,0.089,
2005-01,0.111,
2005-04,0.108,
2005-07,0.109,
2005-10,0.105,
2006-01,0.110,
2006-04,0.118,
2006-07,0.135,
2006-10,0.141,
2007-01,0.149,
2007-04,0.164,
2007-07,0.167,
2007-10,0.195,
2008-01,0.226,
2008-04,0.260,
2008-07,0.273,
2008-10,0.302,
2009-01,0.332,
2009-04,0.291,
2009-07,0.266,
2009-10,0.235,
2010-01,0.243,
2010-04,0.300,
2010-07,0.330,
2010-10,0.348,
2011-01,0.376,
2011-04,0.417,
2011-07,0.441,
2011-10,0.432,
2012-01,0.419,
2012-04,0.427,
2012-07,0.415,
2012-10,0.389,
2013-01,0.340,
2013-04,0.280,
2013-07,0.269,
2013-10,0.260,
2014-01,0.250,
2014-04,0.223,
2014-07,0.204,
