"",BBK01.OEAH82H,BBK01.OEAH82H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:13,
2002-01,0.411,
2002-04,0.379,
2002-07,0.359,
2002-10,0.370,
2003-01,0.368,
2003-04,0.359,
2003-07,0.460,
2003-10,0.471,
2004-01,0.561,
2004-04,0.629,
2004-07,0.712,
2004-10,0.882,
2005-01,0.764,
2005-04,0.892,
2005-07,1.204,
2005-10,0.695,
2006-01,0.630,
2006-04,0.670,
2006-07,0.720,
2006-10,0.561,
2007-01,0.626,
2007-04,0.454,
2007-07,0.332,
2007-10,0.260,
2008-01,0.224,
2008-04,0.192,
2008-07,0.170,
2008-10,0.173,
2009-01,0.194,
2009-04,0.232,
2009-07,0.334,
2009-10,0.402,
2010-01,0.469,
2010-04,0.562,
2010-07,0.640,
2010-10,0.669,
2011-01,0.695,
2011-04,0.633,
2011-07,0.573,
2011-10,0.564,
2012-01,0.524,
2012-04,0.540,
2012-07,0.624,
2012-10,0.635,
2013-01,0.691,
2013-04,0.706,
2013-07,0.714,
2013-10,0.695,
2014-01,0.702,
2014-04,0.691,
2014-07,0.670,
