"",BBK01.OEAE05R,BBK01.OEAE05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:33,
2002-01,0.740,
2002-04,0.750,
2002-07,0.730,
2002-10,0.747,
2003-01,0.727,
2003-04,0.738,
2003-07,0.720,
2003-10,0.733,
2004-01,0.745,
2004-04,0.722,
2004-07,0.711,
2004-10,0.718,
2005-01,0.716,
2005-04,0.725,
2005-07,0.723,
2005-10,0.740,
2006-01,0.748,
2006-04,0.750,
2006-07,0.738,
2006-10,0.747,
2007-01,0.753,
2007-04,0.744,
2007-07,0.715,
2007-10,0.739,
2008-01,0.745,
2008-04,0.759,
2008-07,0.726,
2008-10,0.766,
2009-01,0.765,
2009-04,0.794,
2009-07,0.781,
2009-10,0.772,
2010-01,0.841,
2010-04,0.856,
2010-07,0.855,
2010-10,0.863,
2011-01,0.885,
2011-04,0.885,
2011-07,0.885,
2011-10,0.911,
2012-01,0.937,
2012-04,0.948,
2012-07,0.932,
2012-10,0.935,
2013-01,0.953,
2013-04,0.949,
2013-07,0.907,
2013-10,0.919,
2014-01,0.922,
2014-04,0.923,
2014-07,0.900,
