"",BBK01.OUN378,BBK01.OUN378_FLAGS
"",Loans to foreign general government for over one year and up to and including five years / Special purpose banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:00:56,
1999-01,0.239,
1999-02,0.254,
1999-03,0.456,
1999-04,0.434,
1999-05,0.664,
1999-06,0.538,
1999-07,0.536,
1999-08,0.315,
1999-09,0.289,
1999-10,0.294,
1999-11,0.303,
1999-12,0.338,
2000-01,0.339,
2000-02,0.330,
2000-03,0.326,
2000-04,0.334,
2000-05,0.234,
2000-06,0.085,
2000-07,0.061,
2000-08,0.061,
2000-09,0.076,
2000-10,0.084,
2000-11,0.093,
2000-12,0.063,
2001-01,0.062,
2001-02,0.064,
2001-03,0.100,
2001-04,0.098,
2001-05,0.228,
2001-06,0.216,
2001-07,0.201,
2001-08,0.175,
2001-09,0.151,
2001-10,0.165,
2001-11,0.168,
2001-12,0.155,
2002-01,0.207,
2002-02,0.206,
2002-03,0.198,
2002-04,0.170,
2002-05,0.179,
2002-06,0.166,
2002-07,0.158,
2002-08,0.154,
2002-09,0.146,
2002-10,0.200,
2002-11,0.201,
2002-12,0.188,
2003-01,0.192,
2003-02,0.190,
2003-03,0.186,
2003-04,0.185,
2003-05,0.181,
2003-06,0.172,
2003-07,0.170,
2003-08,0.157,
2003-09,0.093,
2003-10,0.095,
2003-11,0.091,
2003-12,0.079,
2004-01,0.075,
2004-02,0.067,
2004-03,0.056,
2004-04,0.058,
2004-05,0.059,
2004-06,0.052,
2004-07,0.049,
2004-08,0.063,
2004-09,0.039,
2004-10,0.038,
2004-11,0.052,
2004-12,0.696,
2005-01,0.704,
2005-02,0.700,
2005-03,0.705,
2005-04,0.722,
2005-05,0.724,
2005-06,0.702,
2005-07,0.698,
2005-08,0.688,
2005-09,0.644,
2005-10,0.711,
2005-11,0.711,
2005-12,0.781,
2006-01,0.906,
2006-02,0.904,
2006-03,0.794,
2006-04,0.775,
2006-05,0.771,
2006-06,0.768,
2006-07,0.856,
2006-08,0.841,
2006-09,0.840,
2006-10,0.757,
2006-11,0.755,
2006-12,0.496,
2007-01,0.493,
2007-02,0.495,
2007-03,0.497,
2007-04,0.494,
2007-05,0.474,
2007-06,0.484,
2007-07,0.483,
2007-08,0.540,
2007-09,0.547,
2007-10,0.547,
2007-11,0.523,
2007-12,0.497,
2008-01,0.496,
2008-02,0.494,
2008-03,0.493,
2008-04,0.493,
2008-05,0.493,
2008-06,0.433,
2008-07,0.432,
2008-08,0.432,
2008-09,0.432,
2008-10,0.432,
2008-11,0.431,
2008-12,0.388,
2009-01,0.389,
2009-02,0.390,
2009-03,0.379,
2009-04,0.128,
2009-05,0.125,
2009-06,0.103,
2009-07,0.104,
2009-08,0.101,
2009-09,0.100,
2009-10,0.099,
2009-11,0.048,
2009-12,0.025,
2010-01,0.025,
2010-02,0.025,
2010-03,0.023,
2010-04,0.022,
2010-05,4.449,
2010-06,4.447,
2010-07,4.447,
2010-08,4.447,
2010-09,5.941,
2010-10,5.941,
2010-11,5.993,
2010-12,5.939,
2011-01,7.836,
2011-02,7.804,
2011-03,8.414,
2011-04,8.414,
2011-05,8.414,
2011-06,8.417,
2011-07,8.416,
2011-08,8.418,
2011-09,8.417,
2011-10,8.417,
2011-11,8.417,
2011-12,10.126,
2012-01,10.126,
2012-02,10.126,
2012-03,10.125,
2012-04,10.125,
2012-05,10.125,
2012-06,10.139,
2012-07,10.140,
2012-08,10.140,
2012-09,0.024,
2012-10,0.021,
2012-11,0.008,
2012-12,0.008,
2013-01,0.006,
2013-02,0.006,
2013-03,0.006,
2013-04,0.006,
2013-05,0.006,
2013-06,0.006,
2013-07,0.006,
2013-08,0.006,
2013-09,0.006,
2013-10,0.006,
2013-11,0.006,
2013-12,0.006,
2014-01,0.006,
2014-02,0.006,
2014-03,0.006,
2014-04,0.010,
2014-05,0.010,
2014-06,0.010,
2014-07,0.010,
2014-08,0.009,
2014-09,0.029,
2014-10,0.023,
2014-11,0.058,
2014-12,0.059,Provisional value
