"",BBK01.OEXJ03U,BBK01.OEXJ03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:40,
2002-01,0.227,
2002-04,0.183,
2002-07,0.209,
2002-10,0.233,
2003-01,0.164,
2003-04,0.171,
2003-07,0.215,
2003-10,0.207,
2004-01,0.177,
2004-04,0.100,
2004-07,0.100,
2004-10,0.105,
2005-01,0.078,
2005-04,0.089,
2005-07,0.084,
2005-10,0.091,
2006-01,0.114,
2006-04,0.108,
2006-07,0.143,
2006-10,0.170,
2007-01,0.236,
2007-04,0.283,
2007-07,0.332,
2007-10,0.358,
2008-01,0.382,
2008-04,0.416,
2008-07,0.420,
2008-10,0.340,
2009-01,0.134,
2009-04,0.105,
2009-07,0.101,
2009-10,0.087,
2010-01,0.083,
2010-04,0.085,
2010-07,0.087,
2010-10,0.098,
2011-01,0.125,
2011-04,0.135,
2011-07,0.168,
2011-10,0.405,
2012-01,0.483,
2012-04,0.538,
2012-07,0.590,
2012-10,0.599,
2013-01,0.594,
2013-04,0.592,
2013-07,0.588,
2013-10,0.513,
2014-01,0.718,
2014-04,0.775,
2014-07,0.553,
