"",BBK01.OEAD36P,BBK01.OEAD36P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:10,
2002-01,0.105,
2002-04,0.105,
2002-07,0.105,
2002-10,0.100,
2003-01,0.090,
2003-04,0.107,
2003-07,0.097,
2003-10,0.101,
2004-01,0.100,
2004-04,0.098,
2004-07,0.092,
2004-10,0.091,
2005-01,0.085,
2005-04,0.086,
2005-07,0.077,
2005-10,0.070,
2006-01,0.069,
2006-04,0.070,
2006-07,0.073,
2006-10,0.087,
2007-01,0.096,
2007-04,0.094,
2007-07,0.093,
2007-10,0.108,
2008-01,0.110,
2008-04,0.134,
2008-07,0.130,
2008-10,0.134,
2009-01,0.132,
2009-04,0.124,
2009-07,0.128,
2009-10,0.119,
2010-01,0.112,
2010-04,0.128,
2010-07,0.131,
2010-10,0.147,
2011-01,0.150,
2011-04,0.136,
2011-07,0.137,
2011-10,0.134,
2012-01,0.132,
2012-04,0.122,
2012-07,0.123,
2012-10,0.136,
2013-01,0.134,
2013-04,0.137,
2013-07,0.127,
2013-10,0.117,
2014-01,0.117,
2014-04,0.108,
2014-07,0.104,
