"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.AU.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.AU.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Australia / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:52,
2009-09,1834,
2009-10,1840,
2009-11,2268,
2009-12,2319,
2010-01,2328,
2010-02,2453,
2010-03,2560,
2010-04,2583,
2010-05,2570,
2010-06,2429,
2010-07,2502,
2010-08,2541,
2010-09,2508,
2010-10,2515,
2010-11,2525,
2010-12,2492,
2011-01,2343,
2011-02,2336,
2011-03,2337,
2011-04,2427,
2011-05,2565,
2011-06,2538,
2011-07,2558,
2011-08,2551,
2011-09,2524,
2011-10,2480,
2011-11,2407,
2011-12,2385,
2012-01,2936,
2012-02,3092,
2012-03,3112,
2012-04,3295,
2012-05,3368,
2012-06,3347,
2012-07,3617,
2012-08,3722,
2012-09,3603,
2012-10,3498,
2012-11,3459,
2012-12,3708,
2013-01,3555,
2013-02,3657,
2013-03,3635,
2013-04,3723,
2013-05,3689,
2013-06,3526,
2013-07,3623,
2013-08,3570,
2013-09,3567,
2013-10,3603,
2013-11,3706,
2013-12,3675,
2014-01,4022,
2014-02,4013,
2014-03,4270,
2014-04,4311,
2014-05,4458,
2014-06,4412,
2014-07,4443,
2014-08,4532,
2014-09,4547,
2014-10,4760,
2014-11,4811,
