"",BBK01.OEAA08U,BBK01.OEAA08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:42,
2002-01,0.192,
2002-04,0.196,
2002-07,0.176,
2002-10,0.173,
2003-01,0.172,
2003-04,0.171,
2003-07,0.183,
2003-10,0.190,
2004-01,0.194,
2004-04,0.197,
2004-07,0.201,
2004-10,0.212,
2005-01,0.316,
2005-04,0.313,
2005-07,0.313,
2005-10,0.314,
2006-01,0.311,
2006-04,0.311,
2006-07,0.307,
2006-10,0.313,
2007-01,0.312,
2007-04,0.312,
2007-07,0.317,
2007-10,0.316,
2008-01,0.311,
2008-04,0.313,
2008-07,0.317,
2008-10,0.319,
2009-01,0.326,
2009-04,0.328,
2009-07,0.326,
2009-10,0.329,
2010-01,0.330,
2010-04,0.331,
2010-07,0.331,
2010-10,0.333,
2011-01,0.334,
2011-04,0.333,
2011-07,0.331,
2011-10,0.335,
2012-01,0.334,
2012-04,0.333,
2012-07,0.332,
2012-10,0.341,
2013-01,0.342,
2013-04,0.343,
2013-07,0.344,
2013-10,0.343,
2014-01,0.345,
2014-04,0.349,
2014-07,0.339,
