"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.U2.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.U2.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Euro area (changing composition),
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:48,
2009-09,471254,
2009-10,472914,
2009-11,479341,
2009-12,487595,
2010-01,495169,
2010-02,498431,
2010-03,511639,
2010-04,507051,
2010-05,504861,
2010-06,505271,
2010-07,512884,
2010-08,527428,
2010-09,529761,
2010-10,536384,
2010-11,528904,
2010-12,531986,
2011-01,530814,
2011-02,539985,
2011-03,537973,
2011-04,540904,
2011-05,540884,
2011-06,537467,
2011-07,539153,
2011-08,528332,
2011-09,522756,
2011-10,529745,
2011-11,521464,
2011-12,535817,
2012-01,542417,
2012-02,562308,
2012-03,565768,
2012-04,566293,
2012-05,565703,
2012-06,567035,
2012-07,589858,
2012-08,596377,
2012-09,600813,
2012-10,609100,
2012-11,617755,
2012-12,633763,
2013-01,638911,
2013-02,645409,
2013-03,655080,
2013-04,669787,
2013-05,668080,
2013-06,647777,
2013-07,662627,
2013-08,660171,
2013-09,667941,
2013-10,678022,
2013-11,682065,
2013-12,677361,
2014-01,683437,
2014-02,695876,
2014-03,704452,
2014-04,709878,
2014-05,720865,
2014-06,724170,
2014-07,730348,
2014-08,742257,
2014-09,740083,
2014-10,741007,
2014-11,753980,
