"",BBK01.OECB09N,BBK01.OECB09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:49,
2002-01,25.497,
2002-04,25.822,
2002-07,24.637,
2002-10,23.418,
2003-01,21.605,
2003-04,21.522,
2003-07,20.341,
2003-10,19.997,
2004-01,19.617,
2004-04,19.097,
2004-07,18.520,
2004-10,17.215,
2005-01,19.298,
2005-04,18.740,
2005-07,19.235,
2005-10,16.855,
2006-01,17.076,
2006-04,18.128,
2006-07,18.550,
2006-10,17.497,
2007-01,18.087,
2007-04,18.209,
2007-07,18.196,
2007-10,21.703,
2008-01,21.941,
2008-04,22.309,
2008-07,24.964,
2008-10,30.404,
2009-01,27.054,
2009-04,27.814,
2009-07,35.673,
2009-10,29.083,
2010-01,28.550,
2010-04,35.286,
2010-07,29.639,
2010-10,29.432,
2011-01,28.621,
2011-04,32.754,
2011-07,38.983,
2011-10,41.859,
2012-01,34.024,
2012-04,40.017,
2012-07,41.910,
2012-10,37.203,
2013-01,38.191,
2013-04,37.407,
2013-07,20.676,
2013-10,20.610,
2014-01,21.386,
2014-04,21.491,
2014-07,20.362,
