"",BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA._T.FGED.S._T._X.N,BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA._T.FGED.S._T._X.N_FLAGS
"",AVS - Gross external debt - General government - Short-term original maturity (up to 1 year) - Liabilities - Positions - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:34,
1999-10,11734,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,12777,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,20930,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,26674,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,30837,
2004-01,28012,
2004-04,28233,
2004-07,29668,
2004-10,28450,
2005-01,37057,
2005-04,34179,
2005-07,31227,
2005-10,34494,
2006-01,37441,
2006-04,36725,
2006-07,33295,
2006-10,29042,
2007-01,35316,
2007-04,35282,
2007-07,37879,
2007-10,30426,
2008-01,39978,
2008-04,47927,
2008-07,54306,
2008-10,47306,
2009-01,81166,
2009-04,108121,
2009-07,116510,
2009-10,102522,
2010-01,94769,
2010-04,79651,
2010-07,86416,
2010-10,176569,
2011-01,173952,
2011-04,180193,
2011-07,188754,
2011-10,202902,
2012-01,176131,
2012-04,171162,
2012-07,147247,
2012-10,146154,
2013-01,141482,
2013-04,141968,
2013-07,122461,
2013-10,110348,
2014-01,103724,
2014-04,100647,
2014-07,97224,
