"",BBK01.OEAN03I,BBK01.OEAN03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:51,
2002-01,3.296,
2002-04,2.912,
2002-07,2.848,
2002-10,2.936,
2003-01,2.927,
2003-04,2.907,
2003-07,2.784,
2003-10,2.857,
2004-01,2.775,
2004-04,2.757,
2004-07,2.736,
2004-10,2.803,
2005-01,3.109,
2005-04,3.052,
2005-07,3.142,
2005-10,3.225,
2006-01,3.186,
2006-04,3.111,
2006-07,2.986,
2006-10,2.924,
2007-01,2.761,
2007-04,2.627,
2007-07,2.463,
2007-10,2.514,
2008-01,2.439,
2008-04,2.359,
2008-07,2.261,
2008-10,2.284,
2009-01,2.489,
2009-04,2.657,
2009-07,2.864,
2009-10,3.433,
2010-01,3.666,
2010-04,3.789,
2010-07,3.811,
2010-10,4.034,
2011-01,4.228,
2011-04,4.136,
2011-07,4.138,
2011-10,4.321,
2012-01,4.550,
2012-04,4.653,
2012-07,4.687,
2012-10,4.911,
2013-01,5.035,
2013-04,5.153,
2013-07,5.212,
2013-10,5.309,
2014-01,5.427,
2014-04,5.466,
2014-07,5.473,
