"",BBK01.TQ7015N,BBK01.TQ7015N_FLAGS
"",Deposit takers - Geographical distribution of loans to total loans - Netherlands                          FSI-I015,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:30,
2005-10,0.84,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,0.89,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,1.02,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,1.13,
2009-01,1.12,
2009-04,1.15,
2009-07,1.13,
2009-10,1.14,
2010-01,1.17,
2010-04,1.10,
2010-07,1.12,
2010-10,1.11,
2011-01,1.17,
2011-04,0.98,
2011-07,1.00,
2011-10,0.90,
2012-01,0.90,
2012-04,0.90,
2012-07,1.00,
2012-10,1.00,
2013-01,1.10,
2013-04,1.10,
2013-07,1.00,
2013-10,1.00,
2014-01,1.10,
2014-04,1.10,
2014-07,1.10,
