"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.O.F2.T._T.N.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.O.F2.T._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:44,
1999-10,783531,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,909233,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,984012,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,944022,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,910214,
2004-01,977598,
2004-04,924650,
2004-07,944639,
2004-10,924202,
2005-01,997971,
2005-04,998061,
2005-07,1000355,
2005-10,976353,
2006-01,1028808,
2006-04,1018122,
2006-07,1030107,
2006-10,1006695,
2007-01,1042395,
2007-04,1065519,
2007-07,1109571,
2007-10,1060822,
2008-01,1147345,
2008-04,1109845,
2008-07,1168752,
2008-10,1023388,
2009-01,990130,
2009-04,972461,
2009-07,915481,
2009-10,882606,
2010-01,951905,
2010-04,1051190,
2010-07,1027354,
2010-10,988124,
2011-01,934101,
2011-04,898303,
2011-07,1006756,
2011-10,931800,
2012-01,1147012,
2012-04,1174495,
2012-07,1165817,
2012-10,1039651,
2013-01,1009626,
2013-04,978565,
2013-07,919277,
2013-10,835878,
2014-01,845688,
2014-04,860821,
2014-07,881293,
