"",BBK01.OEYB22J,BBK01.OEYB22J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:55,
2002-01,0.009,
2002-04,0.050,
2002-07,0.100,
2002-10,0.109,
2003-01,0.013,
2003-04,0.007,
2003-07,0.115,
2003-10,0.250,
2004-01,0.013,
2004-04,0.080,
2004-07,0.001,
2004-10,0.206,
2005-01,0.163,
2005-04,0.015,
2005-07,0.026,
2005-10,0.002,
2006-01,0.007,
2006-04,0.004,
2006-07,0.004,
2006-10,0.060,
2007-01,0.001,
2007-04,0.003,
2007-07,0.001,
2007-10,0.115,
2008-01,0.162,
2008-04,0.109,
2008-07,0.109,
2008-10,0.022,
2009-01,0.415,
2009-04,0.106,
2009-07,0.154,
2009-10,0.013,
2010-01,0.006,
2010-04,0.005,
2010-07,-,Nothing exists
2010-10,0.014,
2011-01,0.016,
2011-04,0.029,
2011-07,-,Nothing exists
2011-10,0.051,
2012-01,0.215,
2012-04,0.221,
2012-07,0.033,
2012-10,0.008,
2013-01,0.071,
2013-04,0.045,
2013-07,0.001,
2013-10,-,Nothing exists
2014-01,0.205,
2014-04,0.009,
2014-07,0.385,
