"",BBK01.OEHB02G,BBK01.OEHB02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:02,
2002-01,11.940,
2002-04,11.871,
2002-07,11.726,
2002-10,11.485,
2003-01,11.278,
2003-04,11.090,
2003-07,10.698,
2003-10,10.034,
2004-01,10.054,
2004-04,9.971,
2004-07,9.917,
2004-10,9.516,
2005-01,9.642,
2005-04,9.369,
2005-07,9.312,
2005-10,9.000,
2006-01,9.277,
2006-04,9.272,
2006-07,9.149,
2006-10,8.770,
2007-01,8.925,
2007-04,9.107,
2007-07,9.102,
2007-10,9.270,
2008-01,9.342,
2008-04,9.365,
2008-07,9.216,
2008-10,9.409,
2009-01,10.261,
2009-04,10.467,
2009-07,10.187,
2009-10,9.430,
2010-01,9.770,
2010-04,9.717,
2010-07,9.317,
2010-10,8.736,
2011-01,8.990,
2011-04,9.242,
2011-07,9.113,
2011-10,8.668,
2012-01,9.018,
2012-04,9.073,
2012-07,9.023,
2012-10,8.882,
2013-01,9.173,
2013-04,9.180,
2013-07,8.969,
2013-10,8.480,
2014-01,8.781,
2014-04,8.745,
2014-07,8.677,
