"",BBK01.OEHO05V,BBK01.OEHO05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:20,
2002-01,0.014,
2002-04,0.021,
2002-07,0.021,
2002-10,0.410,
2003-01,0.011,
2003-04,0.016,
2003-07,0.017,
2003-10,0.340,
2004-01,0.008,
2004-04,0.010,
2004-07,0.010,
2004-10,0.314,
2005-01,0.026,
2005-04,0.008,
2005-07,0.010,
2005-10,0.302,
2006-01,0.005,
2006-04,0.008,
2006-07,0.010,
2006-10,0.310,
2007-01,0.006,
2007-04,0.009,
2007-07,0.013,
2007-10,0.326,
2008-01,0.007,
2008-04,0.010,
2008-07,0.015,
2008-10,0.345,
2009-01,0.008,
2009-04,0.013,
2009-07,0.022,
2009-10,0.278,
2010-01,0.007,
2010-04,0.006,
2010-07,0.007,
2010-10,0.234,
2011-01,0.012,
2011-04,0.010,
2011-07,0.046,
2011-10,0.216,
2012-01,0.017,
2012-04,0.014,
2012-07,0.023,
2012-10,0.197,
2013-01,0.016,
2013-04,0.014,
2013-07,0.020,
2013-10,0.143,
2014-01,0.016,
2014-04,0.014,
2014-07,0.016,
