"",BBK01.OEXI05T,BBK01.OEXI05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:58,
2002-01,0.030,
2002-04,0.031,
2002-07,0.031,
2002-10,0.031,
2003-01,0.031,
2003-04,0.034,
2003-07,0.034,
2003-10,0.031,
2004-01,0.029,
2004-04,0.025,
2004-07,0.025,
2004-10,0.009,
2005-01,0.009,
2005-04,0.009,
2005-07,0.008,
2005-10,0.009,
2006-01,0.011,
2006-04,0.011,
2006-07,0.012,
2006-10,0.019,
2007-01,0.017,
2007-04,0.019,
2007-07,0.020,
2007-10,0.020,
2008-01,0.018,
2008-04,0.018,
2008-07,0.017,
2008-10,0.016,
2009-01,0.018,
2009-04,0.026,
2009-07,0.039,
2009-10,0.040,
2010-01,0.042,
2010-04,0.042,
2010-07,0.044,
2010-10,0.047,
2011-01,0.050,
2011-04,0.056,
2011-07,0.056,
2011-10,0.063,
2012-01,0.091,
2012-04,0.092,
2012-07,0.085,
2012-10,0.088,
2013-01,0.087,
2013-04,0.089,
2013-07,0.092,
2013-10,0.084,
2014-01,0.091,
2014-04,0.152,
2014-07,0.150,
