"",BBK01.OEBL09K,BBK01.OEBL09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:05,
2002-01,0.565,
2002-04,0.536,
2002-07,0.556,
2002-10,0.530,
2003-01,0.477,
2003-04,0.444,
2003-07,0.421,
2003-10,0.421,
2004-01,0.398,
2004-04,0.379,
2004-07,0.360,
2004-10,0.354,
2005-01,0.363,
2005-04,0.349,
2005-07,0.315,
2005-10,0.314,
2006-01,0.324,
2006-04,0.346,
2006-07,0.365,
2006-10,0.397,
2007-01,0.531,
2007-04,0.603,
2007-07,0.675,
2007-10,0.786,
2008-01,0.843,
2008-04,0.926,
2008-07,0.988,
2008-10,1.455,
2009-01,1.421,
2009-04,1.425,
2009-07,1.391,
2009-10,1.119,
2010-01,0.928,
2010-04,0.908,
2010-07,0.861,
2010-10,0.991,
2011-01,1.118,
2011-04,1.141,
2011-07,1.145,
2011-10,1.116,
2012-01,1.031,
2012-04,1.005,
2012-07,0.937,
2012-10,0.794,
2013-01,0.686,
2013-04,0.614,
2013-07,0.575,
2013-10,0.562,
2014-01,0.537,
2014-04,0.514,
2014-07,0.634,
