"",BBK01.OEBB02H,BBK01.OEBB02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:41,
2002-01,34.636,
2002-04,33.357,
2002-07,33.000,
2002-10,30.367,
2003-01,29.093,
2003-04,27.606,
2003-07,27.399,
2003-10,25.670,
2004-01,23.212,
2004-04,22.968,
2004-07,24.114,
2004-10,22.559,
2005-01,25.196,
2005-04,25.503,
2005-07,26.791,
2005-10,23.873,
2006-01,30.973,
2006-04,28.156,
2006-07,31.669,
2006-10,28.615,
2007-01,42.279,
2007-04,36.914,
2007-07,39.120,
2007-10,31.233,
2008-01,39.912,
2008-04,49.145,
2008-07,49.826,
2008-10,32.589,
2009-01,32.252,
2009-04,33.786,
2009-07,32.082,
2009-10,28.413,
2010-01,28.282,
2010-04,29.442,
2010-07,30.801,
2010-10,27.998,
2011-01,27.720,
2011-04,33.186,
2011-07,35.208,
2011-10,32.205,
2012-01,37.447,
2012-04,33.310,
2012-07,39.053,
2012-10,31.952,
2013-01,37.075,
2013-04,37.358,
2013-07,25.265,
2013-10,22.622,
2014-01,21.438,
2014-04,23.385,
2014-07,23.883,
