"",BBK01.OEAI04K,BBK01.OEAI04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:24,
2002-01,16.008,
2002-04,16.137,
2002-07,15.289,
2002-10,16.526,
2003-01,15.036,
2003-04,14.230,
2003-07,14.912,
2003-10,14.134,
2004-01,12.950,
2004-04,13.119,
2004-07,15.655,
2004-10,12.421,
2005-01,10.979,
2005-04,10.203,
2005-07,9.940,
2005-10,10.003,
2006-01,10.729,
2006-04,11.703,
2006-07,12.118,
2006-10,12.445,
2007-01,13.949,
2007-04,13.353,
2007-07,14.618,
2007-10,15.856,
2008-01,15.369,
2008-04,17.429,
2008-07,19.108,
2008-10,19.143,
2009-01,15.285,
2009-04,14.171,
2009-07,12.047,
2009-10,11.364,
2010-01,10.487,
2010-04,10.845,
2010-07,10.618,
2010-10,11.518,
2011-01,10.046,
2011-04,11.261,
2011-07,12.074,
2011-10,11.806,
2012-01,10.892,
2012-04,10.674,
2012-07,9.615,
2012-10,9.952,
2013-01,10.374,
2013-04,10.013,
2013-07,8.941,
2013-10,8.086,
2014-01,7.749,
2014-04,8.135,
2014-07,8.110,
