"",BBBPS.Q.DE.N.SG1100.I100.X.X.Z5.0000.Z01.E,BBBPS.Q.DE.N.SG1100.I100.X.X.Z5.0000.Z01.E_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-30 12:31:53,
2008-01,-3.461,
2008-04,0.472,
2008-07,-5.138,
2008-10,-12.322,
2009-01,2.729,
2009-04,4.922,
2009-07,4.125,
2009-10,0.032,
2010-01,4.587,
2010-04,-0.439,
2010-07,2.038,
2010-10,1.398,
2011-01,4.443,
2011-04,2.062,
2011-07,-1.964,
2011-10,-0.173,
2012-01,3.839,
2012-04,1.033,
2012-07,2.873,
2012-10,0.468,
2013-01,4.304,
2013-04,2.709,
2013-07,0.745,
2013-10,0.124,
2014-01,2.933,
2014-04,1.940,
2014-07,1.238,Provisional value
