"",BBK01.OEYB11S,BBK01.OEYB11S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:32,
2002-01,0.056,
2002-04,0.057,
2002-07,0.063,
2002-10,0.062,
2003-01,0.031,
2003-04,0.028,
2003-07,0.027,
2003-10,0.018,
2004-01,0.033,
2004-04,0.054,
2004-07,0.053,
2004-10,0.054,
2005-01,0.044,
2005-04,0.045,
2005-07,0.045,
2005-10,0.060,
2006-01,0.064,
2006-04,0.092,
2006-07,0.098,
2006-10,0.098,
2007-01,0.103,
2007-04,0.101,
2007-07,0.102,
2007-10,0.087,
2008-01,0.061,
2008-04,0.062,
2008-07,0.051,
2008-10,0.050,
2009-01,0.053,
2009-04,0.053,
2009-07,0.063,
2009-10,0.041,
2010-01,0.044,
2010-04,0.048,
2010-07,0.049,
2010-10,0.057,
2011-01,0.047,
2011-04,0.057,
2011-07,0.062,
2011-10,0.069,
2012-01,0.069,
2012-04,0.072,
2012-07,0.078,
2012-10,0.064,
2013-01,0.064,
2013-04,0.066,
2013-07,0.064,
2013-10,0.039,
2014-01,0.038,
2014-04,0.038,
2014-07,0.045,
