"",BBK01.OECI02I,BBK01.OECI02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:26,
2002-01,4.409,
2002-04,5.570,
2002-07,5.982,
2002-10,5.600,
2003-01,5.027,
2003-04,5.379,
2003-07,5.056,
2003-10,5.483,
2004-01,5.355,
2004-04,5.336,
2004-07,5.311,
2004-10,5.925,
2005-01,7.714,
2005-04,8.234,
2005-07,8.337,
2005-10,9.363,
2006-01,8.235,
2006-04,8.385,
2006-07,9.019,
2006-10,9.586,
2007-01,8.960,
2007-04,9.624,
2007-07,9.424,
2007-10,10.764,
2008-01,9.413,
2008-04,9.999,
2008-07,9.484,
2008-10,11.406,
2009-01,13.512,
2009-04,14.063,
2009-07,14.350,
2009-10,14.197,
2010-01,14.878,
2010-04,15.729,
2010-07,14.421,
2010-10,15.571,
2011-01,14.819,
2011-04,13.897,
2011-07,13.474,
2011-10,16.096,
2012-01,14.057,
2012-04,14.432,
2012-07,14.114,
2012-10,15.473,
2013-01,15.545,
2013-04,15.755,
2013-07,15.662,
2013-10,16.042,
2014-01,15.525,
2014-04,16.896,
2014-07,16.817,
