"",BBK01.OEHO02N,BBK01.OEHO02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:23,
2002-01,7.639,
2002-04,6.078,
2002-07,6.136,
2002-10,6.098,
2003-01,7.067,
2003-04,5.691,
2003-07,5.821,
2003-10,6.135,
2004-01,7.164,
2004-04,5.513,
2004-07,5.452,
2004-10,5.813,
2005-01,6.451,
2005-04,5.509,
2005-07,5.873,
2005-10,6.038,
2006-01,8.240,
2006-04,6.367,
2006-07,6.185,
2006-10,6.953,
2007-01,7.799,
2007-04,6.059,
2007-07,6.238,
2007-10,6.405,
2008-01,7.156,
2008-04,5.473,
2008-07,5.840,
2008-10,7.324,
2009-01,7.697,
2009-04,6.675,
2009-07,7.005,
2009-10,7.106,
2010-01,7.157,
2010-04,5.264,
2010-07,5.044,
2010-10,5.109,
2011-01,5.936,
2011-04,5.099,
2011-07,5.112,
2011-10,4.904,
2012-01,5.334,
2012-04,4.878,
2012-07,4.962,
2012-10,5.153,
2013-01,5.547,
2013-04,4.860,
2013-07,4.517,
2013-10,4.694,
2014-01,5.007,
2014-04,4.420,
2014-07,4.341,
