"",BBK01.OEAD10T,BBK01.OEAD10T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:09,
2002-01,0.290,
2002-04,0.317,
2002-07,0.348,
2002-10,0.359,
2003-01,0.371,
2003-04,0.356,
2003-07,0.364,
2003-10,0.373,
2004-01,0.369,
2004-04,0.359,
2004-07,0.341,
2004-10,0.325,
2005-01,0.303,
2005-04,0.280,
2005-07,0.262,
2005-10,0.309,
2006-01,0.307,
2006-04,0.304,
2006-07,0.288,
2006-10,0.271,
2007-01,0.273,
2007-04,0.266,
2007-07,0.264,
2007-10,0.259,
2008-01,0.242,
2008-04,0.246,
2008-07,0.250,
2008-10,0.239,
2009-01,0.230,
2009-04,0.248,
2009-07,0.247,
2009-10,0.232,
2010-01,0.243,
2010-04,0.257,
2010-07,0.261,
2010-10,0.254,
2011-01,0.247,
2011-04,0.246,
2011-07,0.262,
2011-10,0.262,
2012-01,0.255,
2012-04,0.251,
2012-07,0.259,
2012-10,0.259,
2013-01,0.276,
2013-04,0.265,
2013-07,0.261,
2013-10,0.257,
2014-01,0.250,
2014-04,0.240,
2014-07,0.248,
