"",BBK01.OEAE05G,BBK01.OEAE05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:49,
2002-01,3.679,
2002-04,3.676,
2002-07,3.588,
2002-10,3.562,
2003-01,3.511,
2003-04,3.446,
2003-07,3.391,
2003-10,3.449,
2004-01,3.422,
2004-04,3.410,
2004-07,3.316,
2004-10,3.311,
2005-01,3.254,
2005-04,3.242,
2005-07,3.215,
2005-10,3.237,
2006-01,3.227,
2006-04,3.213,
2006-07,3.186,
2006-10,3.188,
2007-01,3.200,
2007-04,3.155,
2007-07,3.138,
2007-10,3.191,
2008-01,3.182,
2008-04,3.167,
2008-07,3.170,
2008-10,3.207,
2009-01,3.242,
2009-04,3.236,
2009-07,3.220,
2009-10,3.193,
2010-01,3.210,
2010-04,3.356,
2010-07,3.351,
2010-10,3.383,
2011-01,3.384,
2011-04,3.374,
2011-07,3.245,
2011-10,3.306,
2012-01,3.351,
2012-04,3.381,
2012-07,3.377,
2012-10,3.363,
2013-01,3.393,
2013-04,3.364,
2013-07,3.350,
2013-10,3.365,
2014-01,3.396,
2014-04,3.392,
2014-07,3.347,
