"",BBK01.OEBL08Q,BBK01.OEBL08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:01,
2002-01,1.940,
2002-04,1.814,
2002-07,1.822,
2002-10,1.958,
2003-01,2.048,
2003-04,2.045,
2003-07,2.068,
2003-10,2.041,
2004-01,1.991,
2004-04,1.956,
2004-07,2.035,
2004-10,2.065,
2005-01,3.682,
2005-04,3.631,
2005-07,3.625,
2005-10,3.646,
2006-01,3.702,
2006-04,3.617,
2006-07,3.532,
2006-10,3.493,
2007-01,3.519,
2007-04,3.477,
2007-07,3.398,
2007-10,3.448,
2008-01,3.454,
2008-04,3.481,
2008-07,3.401,
2008-10,3.428,
2009-01,3.635,
2009-04,3.833,
2009-07,4.038,
2009-10,4.211,
2010-01,4.373,
2010-04,4.349,
2010-07,4.393,
2010-10,4.434,
2011-01,4.387,
2011-04,4.201,
2011-07,4.125,
2011-10,4.144,
2012-01,4.340,
2012-04,4.259,
2012-07,4.267,
2012-10,4.405,
2013-01,4.341,
2013-04,4.282,
2013-07,4.224,
2013-10,4.226,
2014-01,4.199,
2014-04,4.139,
2014-07,4.175,
