"",BBK01.OEAN05H,BBK01.OEAN05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:49,
2002-01,27.954,
2002-04,26.851,
2002-07,26.376,
2002-10,27.087,
2003-01,28.145,
2003-04,28.788,
2003-07,22.903,
2003-10,22.858,
2004-01,22.564,
2004-04,22.776,
2004-07,22.287,
2004-10,23.070,
2005-01,23.430,
2005-04,23.568,
2005-07,24.670,
2005-10,24.036,
2006-01,23.958,
2006-04,23.129,
2006-07,22.654,
2006-10,22.184,
2007-01,22.192,
2007-04,19.917,
2007-07,18.451,
2007-10,18.106,
2008-01,17.532,
2008-04,16.537,
2008-07,15.665,
2008-10,15.510,
2009-01,15.935,
2009-04,16.830,
2009-07,17.499,
2009-10,18.367,
2010-01,19.106,
2010-04,19.303,
2010-07,19.542,
2010-10,19.825,
2011-01,20.229,
2011-04,20.285,
2011-07,20.105,
2011-10,21.278,
2012-01,22.694,
2012-04,22.857,
2012-07,23.271,
2012-10,23.274,
2013-01,23.596,
2013-04,23.474,
2013-07,23.342,
2013-10,23.394,
2014-01,23.605,
2014-04,23.956,
2014-07,24.091,
