"",BBK01.OEAE10S,BBK01.OEAE10S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:50,
2002-01,0.574,
2002-04,0.602,
2002-07,0.623,
2002-10,0.599,
2003-01,0.546,
2003-04,0.570,
2003-07,0.562,
2003-10,0.540,
2004-01,0.522,
2004-04,0.536,
2004-07,0.532,
2004-10,0.497,
2005-01,0.501,
2005-04,0.484,
2005-07,0.494,
2005-10,0.494,
2006-01,0.450,
2006-04,0.439,
2006-07,0.433,
2006-10,0.431,
2007-01,0.403,
2007-04,0.398,
2007-07,0.391,
2007-10,0.363,
2008-01,0.381,
2008-04,0.355,
2008-07,0.340,
2008-10,0.331,
2009-01,0.331,
2009-04,0.319,
2009-07,0.366,
2009-10,0.320,
2010-01,0.310,
2010-04,0.295,
2010-07,0.261,
2010-10,0.253,
2011-01,0.261,
2011-04,0.262,
2011-07,0.248,
2011-10,0.268,
2012-01,0.251,
2012-04,0.246,
2012-07,0.238,
2012-10,0.259,
2013-01,0.269,
2013-04,0.263,
2013-07,0.265,
2013-10,0.270,
2014-01,0.241,
2014-04,0.244,
2014-07,0.245,
