"",BBFB1.Q.N.DE.ES.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:55,
1991-01,-334.960,
1991-04,217.289,
1991-07,418.488,
1991-10,516.262,
1992-01,572.823,
1992-04,502.582,
1992-07,-752.467,
1992-10,-638.370,
1993-01,442.237,
1993-04,1299.450,
1993-07,-941.432,
1993-10,1154.985,
1994-01,652.589,
1994-04,1325.577,
1994-07,132.083,
1994-10,337.347,
1995-01,-1839.430,
1995-04,578.374,
1995-07,-219.505,
1995-10,963.087,
1996-01,1922.258,
1996-04,-56.390,
1996-07,-125.098,
1996-10,285.716,
1997-01,2587.867,
1997-04,1159.906,
1997-07,1679.743,
1997-10,-1125.949,
1998-01,3833.863,
1998-04,3289.232,
1998-07,-773.307,
1998-10,4495.560,
1999-01,6685.181,
1999-04,1087.950,
1999-07,3912.815,
1999-10,-4622.390,
2000-01,957.629,
2000-04,-2068.887,
2000-07,9581.161,
2000-10,925.644,
2001-01,4631.538,
2001-04,2932.886,
2001-07,2172.698,
2001-10,-830.707,
2002-01,3536.093,
2002-04,2478.533,
2002-07,1887.139,
2002-10,-742.845,
2003-01,4241.246,
2003-04,1465.644,
2003-07,4210.294,
2003-10,729.115,
2004-01,1825.878,
2004-04,594.744,
2004-07,3435.736,
2004-10,-565.445,
2005-01,1546.021,
2005-04,1932.168,
2005-07,2919.806,
2005-10,4583.730,
2006-01,4493.322,
2006-04,-1628.585,
2006-07,1724.867,
2006-10,2003.521,
2007-01,4748.574,
2007-04,1391.097,
2007-07,56.596,
2007-10,-2479.904,
2008-01,-2093.809,
2008-04,2148.688,
2008-07,-6106.104,
2008-10,-6682.322,
2009-01,-595.098,
2009-04,-807.641,
2009-07,1119.021,
2009-10,949.185,
2010-01,-6766.701,
2010-04,-1114.873,
2010-07,4033.856,
2010-10,635.553,
2011-01,5858.282,
2011-04,13123.257,
2011-07,2506.866,
2011-10,-143.737,
2012-01,10192.928,
2012-04,9732.800,
2012-07,-4837.337,
2012-10,1167.680,
2013-01,536.496,
2013-04,500.596,
2013-07,-689.118,
2013-10,-1261.456,
2014-01,2405.758,Provisional value
2014-04,-1461.471,Provisional value
2014-07,2004.523,Provisional value
2014-10,-1765.430,Provisional value
