"",BBK01.OEAJ04Q,BBK01.OEAJ04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:20,
2002-01,1.953,
2002-04,1.966,
2002-07,1.928,
2002-10,2.057,
2003-01,1.841,
2003-04,1.442,
2003-07,1.580,
2003-10,1.478,
2004-01,1.527,
2004-04,1.624,
2004-07,1.490,
2004-10,4.993,
2005-01,3.300,
2005-04,3.442,
2005-07,3.467,
2005-10,3.555,
2006-01,3.315,
2006-04,3.167,
2006-07,3.309,
2006-10,3.142,
2007-01,3.389,
2007-04,3.412,
2007-07,4.605,
2007-10,6.826,
2008-01,7.783,
2008-04,11.324,
2008-07,12.247,
2008-10,10.391,
2009-01,12.841,
2009-04,11.466,
2009-07,11.040,
2009-10,9.593,
2010-01,9.978,
2010-04,14.659,
2010-07,15.218,
2010-10,13.850,
2011-01,7.265,
2011-04,7.191,
2011-07,7.091,
2011-10,6.818,
2012-01,7.728,
2012-04,9.563,
2012-07,9.866,
2012-10,10.129,
2013-01,6.426,
2013-04,5.945,
2013-07,5.938,
2013-10,6.471,
2014-01,6.455,
2014-04,7.165,
2014-07,7.309,
