"",BBK01.OEXB13H,BBK01.OEXB13H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:05,
2002-01,4.219,
2002-04,4.180,
2002-07,4.076,
2002-10,4.008,
2003-01,4.074,
2003-04,3.972,
2003-07,4.019,
2003-10,4.039,
2004-01,3.934,
2004-04,3.862,
2004-07,4.307,
2004-10,4.210,
2005-01,4.196,
2005-04,4.231,
2005-07,4.200,
2005-10,4.094,
2006-01,4.090,
2006-04,4.031,
2006-07,3.994,
2006-10,4.097,
2007-01,4.102,
2007-04,4.120,
2007-07,4.158,
2007-10,4.215,
2008-01,4.156,
2008-04,4.144,
2008-07,4.192,
2008-10,4.259,
2009-01,4.185,
2009-04,4.204,
2009-07,4.263,
2009-10,4.136,
2010-01,4.142,
2010-04,4.291,
2010-07,4.292,
2010-10,3.983,
2011-01,4.012,
2011-04,4.058,
2011-07,6.439,
2011-10,6.571,
2012-01,6.619,
2012-04,6.639,
2012-07,6.634,
2012-10,6.730,
2013-01,6.728,
2013-04,6.755,
2013-07,6.759,
2013-10,6.789,
2014-01,6.749,
2014-04,6.752,
2014-07,6.765,
