"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.GB.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.GB.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / United Kingdom,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:06,
2009-09,15725,
2009-10,15659,
2009-11,15813,
2009-12,16831,
2010-01,16838,
2010-02,16948,
2010-03,17962,
2010-04,17482,
2010-05,16510,
2010-06,16377,
2010-07,17101,
2010-08,17074,
2010-09,17690,
2010-10,18079,
2010-11,18588,
2010-12,19799,
2011-01,19472,
2011-02,20073,
2011-03,19060,
2011-04,19533,
2011-05,19736,
2011-06,18803,
2011-07,19123,
2011-08,16936,
2011-09,16258,
2011-10,17728,
2011-11,17401,
2011-12,18139,
2012-01,18841,
2012-02,19117,
2012-03,18925,
2012-04,19445,
2012-05,18165,
2012-06,18628,
2012-07,19584,
2012-08,19492,
2012-09,19627,
2012-10,19618,
2012-11,19495,
2012-12,19864,
2013-01,20293,
2013-02,20808,
2013-03,21645,
2013-04,21902,
2013-05,22101,
2013-06,21104,
2013-07,22260,
2013-08,22053,
2013-09,22611,
2013-10,23305,
2013-11,23702,
2013-12,23903,
2014-01,23354,
2014-02,24203,
2014-03,23503,
2014-04,24072,
2014-05,24642,
2014-06,24465,
2014-07,24655,
2014-08,25002,
2014-09,24594,
2014-10,24364,
2014-11,25033,
