"",BBK01.OEAA22Q,BBK01.OEAA22Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:18,
2002-01,3.080,
2002-04,3.207,
2002-07,3.312,
2002-10,3.184,
2003-01,3.100,
2003-04,3.190,
2003-07,3.187,
2003-10,3.311,
2004-01,2.898,
2004-04,2.949,
2004-07,2.788,
2004-10,2.984,
2005-01,3.126,
2005-04,3.097,
2005-07,3.140,
2005-10,3.118,
2006-01,3.083,
2006-04,2.980,
2006-07,2.978,
2006-10,3.128,
2007-01,3.355,
2007-04,3.190,
2007-07,3.544,
2007-10,3.261,
2008-01,2.539,
2008-04,2.507,
2008-07,2.635,
2008-10,2.710,
2009-01,2.600,
2009-04,2.630,
2009-07,2.922,
2009-10,3.978,
2010-01,3.774,
2010-04,3.480,
2010-07,2.776,
2010-10,2.448,
2011-01,2.720,
2011-04,2.482,
2011-07,1.494,
2011-10,1.516,
2012-01,1.533,
2012-04,1.558,
2012-07,1.522,
2012-10,2.193,
2013-01,2.148,
2013-04,2.041,
2013-07,1.966,
2013-10,2.435,
2014-01,2.327,
2014-04,2.265,
2014-07,2.299,
