"",BBK01.OEHB07S,BBK01.OEHB07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:12,
2002-01,0.302,
2002-04,0.305,
2002-07,0.300,
2002-10,0.296,
2003-01,0.295,
2003-04,0.293,
2003-07,0.289,
2003-10,0.278,
2004-01,0.274,
2004-04,0.270,
2004-07,0.268,
2004-10,0.259,
2005-01,0.254,
2005-04,0.255,
2005-07,0.247,
2005-10,0.259,
2006-01,0.256,
2006-04,0.257,
2006-07,0.254,
2006-10,0.255,
2007-01,0.243,
2007-04,0.246,
2007-07,0.233,
2007-10,0.225,
2008-01,0.218,
2008-04,0.216,
2008-07,0.224,
2008-10,0.220,
2009-01,0.226,
2009-04,0.295,
2009-07,0.291,
2009-10,0.295,
2010-01,0.286,
2010-04,0.292,
2010-07,0.337,
2010-10,0.351,
2011-01,0.353,
2011-04,0.443,
2011-07,0.410,
2011-10,0.392,
2012-01,0.410,
2012-04,0.416,
2012-07,0.552,
2012-10,0.469,
2013-01,0.472,
2013-04,0.487,
2013-07,0.482,
2013-10,0.496,
2014-01,0.505,
2014-04,0.506,
2014-07,0.493,
