"",BBK01.OEAI09G,BBK01.OEAI09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:57,
2002-01,20.940,
2002-04,20.387,
2002-07,20.035,
2002-10,19.557,
2003-01,18.596,
2003-04,17.392,
2003-07,16.525,
2003-10,17.129,
2004-01,16.924,
2004-04,16.438,
2004-07,16.464,
2004-10,17.290,
2005-01,17.640,
2005-04,17.637,
2005-07,17.025,
2005-10,16.869,
2006-01,16.930,
2006-04,17.245,
2006-07,17.978,
2006-10,20.150,
2007-01,21.087,
2007-04,20.922,
2007-07,20.450,
2007-10,20.626,
2008-01,19.454,
2008-04,18.522,
2008-07,18.088,
2008-10,20.126,
2009-01,20.379,
2009-04,20.329,
2009-07,21.117,
2009-10,23.553,
2010-01,24.074,
2010-04,23.258,
2010-07,22.215,
2010-10,22.610,
2011-01,22.352,
2011-04,21.643,
2011-07,21.382,
2011-10,21.332,
2012-01,21.333,
2012-04,21.192,
2012-07,20.502,
2012-10,20.458,
2013-01,19.726,
2013-04,19.227,
2013-07,19.182,
2013-10,19.453,
2014-01,19.412,
2014-04,18.318,
2014-07,18.195,
