"",BBK01.OEAC21N,BBK01.OEAC21N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:55,
2002-01,0.694,
2002-04,0.713,
2002-07,0.749,
2002-10,0.605,
2003-01,0.718,
2003-04,0.716,
2003-07,0.726,
2003-10,0.629,
2004-01,0.667,
2004-04,0.666,
2004-07,0.664,
2004-10,0.558,
2005-01,0.603,
2005-04,0.591,
2005-07,0.593,
2005-10,0.499,
2006-01,0.578,
2006-04,0.533,
2006-07,0.574,
2006-10,0.463,
2007-01,0.535,
2007-04,0.552,
2007-07,0.565,
2007-10,0.500,
2008-01,0.541,
2008-04,0.573,
2008-07,0.591,
2008-10,0.497,
2009-01,0.518,
2009-04,0.542,
2009-07,0.563,
2009-10,0.483,
2010-01,0.723,
2010-04,0.728,
2010-07,0.721,
2010-10,0.724,
2011-01,0.740,
2011-04,0.778,
2011-07,0.787,
2011-10,0.780,
2012-01,0.853,
2012-04,0.872,
2012-07,0.862,
2012-10,0.837,
2013-01,0.930,
2013-04,1.000,
2013-07,0.951,
2013-10,0.883,
2014-01,0.882,
2014-04,0.891,
2014-07,0.891,
