"",BBK01.OECJ03O,BBK01.OECJ03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:26,
2002-01,0.387,
2002-04,0.456,
2002-07,0.442,
2002-10,0.427,
2003-01,0.373,
2003-04,0.341,
2003-07,0.375,
2003-10,0.335,
2004-01,0.284,
2004-04,0.256,
2004-07,0.363,
2004-10,0.569,
2005-01,0.727,
2005-04,0.759,
2005-07,0.774,
2005-10,0.724,
2006-01,0.654,
2006-04,0.665,
2006-07,0.728,
2006-10,0.752,
2007-01,0.648,
2007-04,0.690,
2007-07,0.802,
2007-10,0.919,
2008-01,0.870,
2008-04,0.870,
2008-07,1.079,
2008-10,1.094,
2009-01,1.067,
2009-04,1.066,
2009-07,1.240,
2009-10,1.263,
2010-01,1.363,
2010-04,1.244,
2010-07,0.978,
2010-10,0.944,
2011-01,1.105,
2011-04,1.261,
2011-07,1.102,
2011-10,0.981,
2012-01,0.955,
2012-04,0.907,
2012-07,1.057,
2012-10,0.987,
2013-01,0.754,
2013-04,0.822,
2013-07,0.801,
2013-10,1.001,
2014-01,0.830,
2014-04,0.658,
2014-07,0.617,
