"",BBFN1.M.DE.N.1.A.IS.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IS.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:18,
2006-03,0.137,
2006-04,0.140,
2006-05,0.145,
2006-06,0.162,
2006-07,0.160,
2006-08,0.178,
2006-09,0.170,
2006-10,0.164,
2006-11,0.170,
2006-12,0.198,
2007-01,0.237,
2007-02,0.257,
2007-03,0.373,
2007-04,0.338,
2007-05,0.339,
2007-06,0.392,
2007-07,0.401,
2007-08,0.384,
2007-09,0.336,
2007-10,0.385,
2007-11,0.344,
2007-12,0.374,
2008-01,0.358,
2008-02,0.370,
2008-03,0.362,
2008-04,0.361,
2008-05,0.363,
2008-06,0.381,
2008-07,0.358,
2008-08,0.348,
2008-09,0.344,
2008-10,0.340,
2008-11,0.332,
2008-12,0.269,
2009-01,0.094,
2009-02,0.093,
2009-03,0.096,
2009-04,0.098,
2009-05,0.093,
2009-06,0.087,
2009-07,0.084,
2009-08,0.085,
2009-09,0.083,
2009-10,0.085,
2009-11,0.083,
2009-12,0.073,
2010-01,0.075,
2010-02,0.073,
2010-03,0.074,
2010-04,0.073,
2010-05,0.076,
2010-06,0.077,
2010-07,0.075,
2010-08,0.072,
2010-09,0.074,
2010-10,0.167,
2010-11,0.065,
2010-12,0.062,
2011-01,0.046,
2011-02,0.049,
2011-03,0.083,
2011-04,0.081,
2011-05,0.080,
2011-06,0.085,
2011-07,0.082,
2011-08,0.086,
2011-09,0.078,
2011-10,0.085,
2011-11,0.085,
2011-12,0.082,
2012-01,0.087,
2012-02,0.078,
2012-03,0.048,
2012-04,0.049,
2012-05,0.056,
2012-06,0.051,
2012-07,0.046,
2012-08,0.059,
2012-09,0.065,
2012-10,0.073,
2012-11,0.113,
2012-12,0.086,
2013-01,0.092,
2013-02,0.100,
2013-03,0.087,
2013-04,0.091,
2013-05,0.062,
2013-06,0.077,
2013-07,0.064,
2013-08,0.064,
2013-09,0.069,
2013-10,0.072,
2013-11,0.085,
2013-12,0.085,
2014-01,0.111,
2014-02,0.111,
2014-03,0.051,
2014-04,0.061,
2014-05,0.061,
2014-06,0.059,
2014-07,0.050,
2014-08,0.048,
2014-09,0.048,
2014-10,0.057,
2014-11,0.057,
2014-12,0.060,
